"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	59.3516	20.5078	59.3475	20.5078	59.2567	20.5078	59.2643	20.5078	40.0626	20.5078	40.0702	20.5078	39.9794
21.2402	60.5946	21.2402	60.5914	21.2402	60.5102	21.2402	60.5286	21.2402	40.0422	21.2402	40.0606	21.2402	39.9794
21.9727	61.1668	21.9727	61.1637	21.9727	61.0833	21.9727	61.1069	21.9727	40.0362	21.9727	40.0597	21.9727	39.9794
22.7051	61.9528	22.7051	61.9492	22.7051	61.8629	22.7051	61.8723	22.7051	40.0564	22.7051	40.0657	22.7051	39.9794
23.4375	62.4967	23.4375	62.4915	23.4375	62.3944	23.4375	62.3783	23.4375	40.0926	23.4375	40.0765	23.4375	39.9794
24.1699	63.0437	24.1699	63.0373	24.1699	62.9339	24.1699	62.9024	24.1699	40.1144	24.1699	40.0828	24.1699	39.9794
25.6348	64.3182	25.6348	64.3114	25.6348	64.2066	25.6348	64.1654	25.6348	40.1254	25.6348	40.0841	25.6348	39.9794
26.3672	65.0481	26.3672	65.0402	26.3672	64.9293	26.3672	64.868	26.3672	40.1517	26.3672	40.0903	26.3672	39.9794
27.0996	65.6322	27.0996	65.624	27.0996	65.5115	27.0996	65.445	27.0996	40.1584	27.0996	40.0919	27.0996	39.9794
27.832	66.1398	27.832	66.1316	27.832	66.0184	27.832	65.954	27.832	40.157	27.832	40.0926	27.832	39.9794
29.2969	67.2762	29.2969	67.2686	29.2969	67.1629	29.2969	67.1065	29.2969	40.1415	29.2969	40.0851	29.2969	39.9794
30.0293	67.6651	30.0293	67.6567	30.0293	67.5456	30.0293	67.4784	30.0293	40.1577	30.0293	40.0906	30.0293	39.9794
31.4941	68.742	31.4941	68.7341	31.4941	68.6302	31.4941	68.5729	31.4941	40.1406	31.4941	40.0833	31.4941	39.9794
32.2266	69.1627	32.2266	69.1541	32.2266	69.0458	32.2266	68.9834	32.2266	40.1501	32.2266	40.0877	32.2266	39.9794
33.6914	69.9603	33.6914	69.949	33.6914	69.8219	33.6914	69.7256	33.6914	40.2028	33.6914	40.1064	33.6914	39.9794
34.4238	70.4507	34.4238	70.4397	34.4238	70.3161	34.4238	70.2256	34.4238	40.1935	34.4238	40.103	34.4238	39.9794
35.8887	71.3551	35.8887	71.3431	35.8887	71.213	35.8887	71.1079	35.8887	40.2146	35.8887	40.1095	35.8887	39.9794
37.3535	72.1038	37.3535	72.0919	37.3535	71.9648	37.3535	71.8631	37.3535	40.2082	37.3535	40.1065	37.3535	39.9794
38.8184	72.9179	38.8184	72.9051	38.8184	72.7742	38.8184	72.6606	38.8184	40.2239	38.8184	40.1103	38.8184	39.9794
39.5508	73.3645	39.5508	73.3498	39.5508	73.2061	39.5508	73.0667	39.5508	40.2625	39.5508	40.1231	39.5508	39.9794
41.0156	74.819	41.0156	74.8073	41.0156	74.6833	41.0156	74.5756	41.0156	40.2111	41.0156	40.1033	41.0156	39.9794
42.4805	74.9623	42.4805	74.9501	42.4805	74.8261	42.4805	74.7214	42.4805	40.2081	42.4805	40.1034	42.4805	39.9794
43.9453	75.6723	43.9453	75.6586	43.9453	75.5239	43.9453	75.4002	43.9453	40.2378	43.9453	40.1141	43.9453	39.9794
45.4102	76.3578	45.4102	76.343	45.4102	76.2024	45.4102	76.067	45.4102	40.2554	45.4102	40.12	45.4102	39.9794
47.6074	77.5444	47.6074	77.529	47.6074	77.3877	47.6074	77.2471	47.6074	40.2613	47.6074	40.1207	47.6074	39.9794
49.0723	78.3339	49.0723	78.3183	49.0723	78.1787	49.0723	78.036	49.0723	40.2617	49.0723	40.119	49.0723	39.9794
50.5371	78.9767	50.5371	78.9603	50.5371	78.8151	50.5371	78.6638	50.5371	40.2759	50.5371	40.1246	50.5371	39.9794
52.7344	79.8263	52.7344	79.8088	52.7344	79.6577	52.7344	79.4955	52.7344	40.2927	52.7344	40.1306	52.7344	39.9794
54.1992	80.5145	54.1992	80.4965	54.1992	80.3441	54.1992	80.1763	54.1992	40.2996	54.1992	40.1318	54.1992	39.9794
56.3965	81.3465	56.3965	81.3287	56.3965	81.1804	56.3965	81.0216	56.3965	40.2865	56.3965	40.1277	56.3965	39.9794
58.5938	82.1331	58.5938	82.1147	58.5938	81.9651	58.5938	81.8069	58.5938	40.2872	58.5938	40.129	58.5938	39.9794
60.0586	82.5305	60.0586	82.5114	60.0586	82.358	60.0586	82.1976	60.0586	40.2931	60.0586	40.1328	60.0586	39.9794
62.2559	83.113	62.2559	83.0922	62.2559	82.927	62.2559	82.7527	62.2559	40.319	62.2559	40.1446	62.2559	39.9794
64.4531	83.6929	64.4531	83.6707	64.4531	83.4967	64.4531	83.3094	64.4531	40.3407	64.4531	40.1534	64.4531	39.9794
66.6504	84.1858	66.6504	84.1627	66.6504	83.9812	66.6504	83.783	66.6504	40.3591	66.6504	40.1609	66.6504	39.9794
69.5801	84.7197	69.5801	84.6968	69.5801	84.5218	69.5801	84.3424	69.5801	40.3338	69.5801	40.1544	69.5801	39.9794
71.7773	85.1356	71.7773	85.1112	71.7773	84.9274	71.7773	84.7368	71.7773	40.3537	71.7773	40.1632	71.7773	39.9794
73.9746	85.5506	73.9746	85.5253	73.9746	85.3373	73.9746	85.1418	73.9746	40.363	73.9746	40.1674	73.9746	39.9794
76.9043	86.0192	76.9043	85.9927	76.9043	85.8	76.9043	85.6019	76.9043	40.3702	76.9043	40.1721	76.9043	39.9794
79.834	86.4781	79.834	86.4498	79.834	86.2463	79.834	86.0376	79.834	40.3916	79.834	40.1829	79.834	39.9794
82.7637	86.8233	82.7637	86.7937	82.7637	86.5815	82.7637	86.3635	82.7637	40.4097	82.7637	40.1916	82.7637	39.9794
85.6934	87.0759	85.6934	87.0461	85.6934	86.8385	85.6934	86.6375	85.6934	40.388	85.6934	40.1871	85.6934	39.9794
88.623	87.3792	88.623	87.3475	88.623	87.1298	88.623	86.9212	88.623	40.4057	88.623	40.197	88.623	39.9794
91.5527	87.606	91.5527	87.572	91.5527	87.3412	91.5527	87.1194	91.5527	40.4319	91.5527	40.2102	91.5527	39.9794
94.4824	87.8001	94.4824	87.763	94.4824	87.5132	94.4824	87.2673	94.4824	40.4752	94.4824	40.2292	94.4824	39.9794
98.1445	88.0084	98.1445	87.9699	98.1445	87.7111	98.1445	87.4518	98.1445	40.4976	98.1445	40.2382	98.1445	39.9794
101.807	88.1199	101.807	88.0778	101.807	87.8017	101.807	87.5302	101.807	40.527	101.807	40.2555	101.807	39.9794
105.469	88.2991	105.469	88.255	105.469	87.9645	105.469	87.6705	105.469	40.5639	105.469	40.2699	105.469	39.9794
109.131	88.4939	109.131	88.4474	109.131	88.1459	109.131	87.8465	109.131	40.5803	109.131	40.2809	109.131	39.9794
112.793	88.7063	112.793	88.6535	112.793	88.3137	112.793	87.965	112.793	40.668	112.793	40.3192	112.793	39.9794
116.455	88.8866	116.455	88.8305	116.455	88.4708	116.455	88.0937	116.455	40.7162	116.455	40.3391	116.455	39.9794
120.85	89.0084	120.85	88.9503	120.85	88.5727	120.85	88.1621	120.85	40.7676	120.85	40.357	120.85	39.9794
125.244	89.0592	125.244	88.9998	125.244	88.6189	125.244	88.2183	125.244	40.7608	125.244	40.3603	125.244	39.9794
129.639	89.0142	129.639	88.9492	129.639	88.5399	129.639	88.1165	129.639	40.8121	129.639	40.3887	129.639	39.9794
134.033	88.9943	134.033	88.9257	134.033	88.5	134.033	88.0714	134.033	40.8336	134.033	40.4051	134.033	39.9794
138.428	88.9824	138.428	88.9098	138.428	88.4614	138.428	88.0128	138.428	40.8764	138.428	40.4278	138.428	39.9794
143.555	88.9708	143.555	88.894	143.555	88.4206	143.555	87.9492	143.555	40.9242	143.555	40.4529	143.555	39.9794
148.682	89.0247	148.682	88.9358	148.682	88.3892	148.682	87.8466	148.682	41.0685	148.682	40.526	148.682	39.9794
153.809	88.9449	153.809	88.8486	153.809	88.2493	153.809	87.6246	153.809	41.2034	153.809	40.5787	153.809	39.9794
159.668	89.0665	159.668	88.9683	159.668	88.3522	159.668	87.7045	159.668	41.2432	159.668	40.5955	159.668	39.9794
164.795	89.1863	164.795	89.0871	164.795	88.4601	164.795	87.7797	164.795	41.2868	164.795	40.6064	164.795	39.9794
170.654	89.1808	170.654	89.0799	170.654	88.4477	170.654	87.7703	170.654	41.289	170.654	40.6116	170.654	39.9794
176.514	89.0258	176.514	88.9209	176.514	88.2637	176.514	87.56	176.514	41.3403	176.514	40.6365	176.514	39.9794
183.105	88.8677	183.105	88.7556	183.105	88.055	183.105	87.3081	183.105	41.4269	183.105	40.68	183.105	39.9794
189.697	89	189.697	88.8783	189.697	88.1214	189.697	87.2808	189.697	41.5769	189.697	40.7363	189.697	39.9794
196.289	89.0695	196.289	88.9394	196.289	88.167	196.289	87.3724	196.289	41.5464	196.289	40.7518	196.289	39.9794
202.881	88.8813	202.881	88.7466	202.881	87.9377	202.881	87.1089	202.881	41.6172	202.881	40.7884	202.881	39.9794
210.205	88.7349	210.205	88.5913	210.205	87.7018	210.205	86.7497	210.205	41.821	210.205	40.8688	210.205	39.9794
