"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	0.0832093	20.5078	0.0908387
21.2402	0.0627768	21.2402	0.081195
21.9727	0.0567721	21.9727	0.0803366
22.7051	0.0769792	22.7051	0.0863478
23.4375	0.113158	23.4375	0.0971165
24.1699	0.134957	24.1699	0.10342
25.6348	0.14599	25.6348	0.10472
26.3672	0.172285	26.3672	0.110919
27.0996	0.178976	27.0996	0.112542
27.832	0.177551	27.832	0.113208
29.2969	0.162124	29.2969	0.10573
30.0293	0.178299	30.0293	0.11119
31.4941	0.161176	31.4941	0.103853
32.2266	0.170657	32.2266	0.108262
33.6914	0.223413	33.6914	0.12704
34.4238	0.214114	34.4238	0.123634
35.8887	0.235173	35.8887	0.130096
37.3535	0.228816	37.3535	0.127093
38.8184	0.244504	38.8184	0.130861
39.5508	0.283073	39.5508	0.143688
41.0156	0.231688	41.0156	0.123945
42.4805	0.228672	42.4805	0.124047
43.9453	0.258367	43.9453	0.134689
45.4102	0.276042	45.4102	0.140609
47.6074	0.281918	47.6074	0.141272
49.0723	0.2823	49.0723	0.139626
50.5371	0.296527	50.5371	0.145197
52.7344	0.313328	52.7344	0.151154
54.1992	0.32022	54.1992	0.152436
56.3965	0.307124	56.3965	0.148284
58.5938	0.307815	58.5938	0.149627
60.0586	0.313731	60.0586	0.153372
62.2559	0.33959	62.2559	0.165227
64.4531	0.361261	64.4531	0.173971
66.6504	0.379703	66.6504	0.181452
69.5801	0.354424	69.5801	0.175048
71.7773	0.374328	71.7773	0.183798
73.9746	0.383553	73.9746	0.188041
76.9043	0.390829	76.9043	0.192718
79.834	0.412183	79.834	0.203513
82.7637	0.43026	82.7637	0.212245
85.6934	0.408626	85.6934	0.207672
88.623	0.426281	88.623	0.217646
91.5527	0.45253	91.5527	0.230756
94.4824	0.495773	94.4824	0.249818
98.1445	0.518165	98.1445	0.258794
101.807	0.5476	101.807	0.276116
105.469	0.584456	105.469	0.290451
109.131	0.600898	109.131	0.301468
112.793	0.688553	112.793	0.339819
116.455	0.736776	116.455	0.359698
120.85	0.788173	120.85	0.377632
125.244	0.781443	125.244	0.380876
129.639	0.832667	129.639	0.409266
134.033	0.854244	134.033	0.425659
138.428	0.896958	138.428	0.448417
143.555	0.944849	143.555	0.47346
148.682	1.08912	148.682	0.546587
153.809	1.22397	153.809	0.599261
159.668	1.26381	159.668	0.616089
164.795	1.30742	164.795	0.627015
170.654	1.30961	170.654	0.632192
176.514	1.3609	176.514	0.657143
183.105	1.44747	183.105	0.700625
189.697	1.59749	189.697	0.756884
196.289	1.56699	196.289	0.772392
202.881	1.63778	202.881	0.808984
210.205	1.8416	210.205	0.889444
217.529	1.93176	217.529	0.932693
225.586	2.20618	225.586	1.07051
232.91	2.55895	232.91	1.0952
241.699	2.32586	241.699	1.00588
249.756	2.54295	249.756	1.10474
258.545	2.35013	258.545	1.00917
268.066	2.45415	268.066	1.09727
277.588	2.6072	277.588	1.1345
287.109	2.72075	287.109	1.15257
297.363	3.24353	297.363	1.2742
307.617	2.7734	307.617	1.01161
318.604	3.13698	318.604	1.18186
329.59	2.9596	329.59	1.04178
341.309	2.5861	341.309	1.07399
353.76	3.08234	353.76	1.09546
366.211	2.98068	366.211	1.02874
378.662	2.98653	378.662	0.990596
392.578	2.68666	392.578	0.840527
405.762	3.02346	405.762	1.10638
420.41	3.43776	420.41	1.17893
435.059	3.01471	435.059	0.997557
450.439	3.59541	450.439	1.25965
466.553	3.54673	466.553	1.3409
482.666	3.70769	482.666	1.35923
500.244	3.84159	500.244	1.46311
517.822	3.71455	517.822	1.34223
536.133	4.41666	536.133	1.8259
554.443	4.37272	554.443	1.70649
574.219	4.68262	574.219	1.84488
594.727	4.66792	594.727	1.93589
615.234	5.09878	615.234	2.0651
637.207	5.05186	637.207	2.19899
659.912	5.26527	659.912	2.21225
683.35	4.99814	683.35	2.2082
706.787	5.33435	706.787	2.34339
731.689	5.33436	731.689	2.29046
758.057	5.13447	758.057	2.28171
784.424	5.18783	784.424	2.28339
812.256	5.12928	812.256	2.32316
840.82	5.1516	840.82	2.32228
870.85	5.06778	870.85	2.26006
901.611	5.61594	901.611	2.46001
933.105	5.81839	933.105	2.52426
966.064	5.75435	966.064	2.51157
999.756	5.88222	999.756	2.59422
1,034.91	5.74924	1,034.91	2.58949
1,071.53	5.28187	1,071.53	2.20519
1,109.62	5.46754	1,109.62	2.38974
1,148.44	5.5817	1,148.44	2.27158
1,189.45	5.85521	1,189.45	2.44279
1,231.2	6.12252	1,231.2	2.54533
1,274.41	6.25412	1,274.41	2.60884
1,319.82	6.05774	1,319.82	2.54579
1,365.97	6.08617	1,365.97	2.64671
1,414.31	6.03854	1,414.31	2.61269
1,464.11	6.32231	1,464.11	2.73859
1,515.38	6.22951	1,515.38	2.53101
1,568.85	6.05505	1,568.85	2.38946
1,624.51	6.01393	1,624.51	2.46858
1,681.64	5.97949	1,681.64	2.43097
1,740.97	5.95015	1,740.97	2.28797
1,802.49	6.6848	1,802.49	2.71155
1,866.21	6.28866	1,866.21	2.46289
1,932.13	6.4966	1,932.13	2.70584
2,000.24	6.8744	2,000.24	2.96418
2,070.56	7.68224	2,070.56	3.32557
2,143.8	8.16827	2,143.8	3.68432
2,219.24	8.3205	2,219.24	3.76489
2,297.61	9.01963	2,297.61	4.02726
2,378.17	9.63206	2,378.17	4.33507
2,462.4	9.30567	2,462.4	4.25374
2,548.83	9.09745	2,548.83	4.1229
2,638.92	8.80647	2,638.92	4.00359
2,731.93	8.36088	2,731.93	3.68046
2,828.61	7.78	2,828.61	3.2794
2,928.22	7.14351	2,928.22	2.77191
3,031.49	6.20461	3,031.49	2.02273
3,138.43	6.2847	3,138.43	2.01173
3,249.02	6.1208	3,249.02	2.04429
3,363.28	5.95038	3,363.28	2.07749
3,481.93	5.63645	3,481.93	1.84805
3,604.98	5.44979	3,604.98	1.60182
3,732.42	4.9168	3,732.42	1.17383
3,863.53	4.90536	3,863.53	1.13105
3,999.76	5.09003	3,999.76	1.33438
4,141.11	5.15607	4,141.11	1.39111
4,286.87	5.34575	4,286.87	1.53433
4,438.48	5.34026	4,438.48	1.57018
4,594.48	5.34117	4,594.48	1.58165
4,757.08	5.31805	4,757.08	1.61259
4,924.8	5.60258	4,924.8	1.82986
5,098.39	5.65249	5,098.39	1.82789
5,277.83	5.89299	5,277.83	2.04392
5,463.87	6.01759	5,463.87	2.13945
5,656.49	5.87205	5,656.49	2.06098
5,856.45	6.18742	5,856.45	2.33983
6,062.99	6.74168	6,062.99	2.71455
6,276.86	6.93425	6,276.86	2.79749
6,498.05	7.21229	6,498.05	3.00889
6,727.29	7.63599	6,727.29	3.26473
6,964.6	7.72198	6,964.6	3.33038
7,209.96	7.88832	7,209.96	3.40925
7,464.11	7.64057	7,464.11	3.27443
7,727.78	7.4076	7,727.78	3.16875
8,000.24	7.63723	8,000.24	3.35359
8,282.23	8.30953	8,282.23	3.7448
8,574.46	8.87178	8,574.46	3.99333
8,876.22	8.92766	8,876.22	4.02676
9,189.7	8.70964	9,189.7	3.89183
9,513.43	8.30246	9,513.43	3.65575
9,848.88	8.3369	9,848.88	3.71094
10,196.8	8.73805	10,196.8	3.9374
10,556.4	9.04015	10,556.4	4.04192
10,928.5	9.05827	10,928.5	3.92652
11,313.7	8.74786	11,313.7	3.68977
11,712.9	8.55818	11,712.9	3.68285
12,126	8.64896	12,126	3.77812
12,553.7	8.7942	12,553.7	3.81471
12,996.1	8.85175	12,996.1	3.84178
13,454.6	8.86911	13,454.6	4.00396
13,928.5	8.796	13,928.5	4.08326
14,419.9	8.51235	14,419.9	3.90881
14,928.2	8.68056	14,928.2	3.95987
15,454.8	8.90694	15,454.8	4.07908
15,999.8	8.68862	15,999.8	3.92822
16,564.5	9.29574	16,564.5	4.26836
17,148.2	10.1261	17,148.2	4.64617
17,753.2	11.0091	17,753.2	5.01688
18,379.4	11.391	18,379.4	5.27334
19,027.6	11.6084	19,027.6	5.48147
19,698.5	12.3126	19,698.5	5.65455
19,999.5	12.6151	19,999.5	5.65903
