"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	59.271
21.2402	60.5281
21.9727	61.1034
22.7051	61.8775
23.4375	62.3991
24.1699	62.9327
25.6348	64.2013
26.3672	64.916
27.0996	65.4961
27.832	66.004
29.2969	67.1511
30.0293	67.5297
31.4941	68.6178
32.2266	69.0317
33.6914	69.7954
34.4238	70.2917
35.8887	71.1831
37.3535	71.9359
38.8184	72.7407
39.5508	73.1631
41.0156	74.6515
42.4805	74.7956
43.9453	75.4865
45.4102	76.1607
47.6074	77.3439
49.0723	78.1337
50.5371	78.7671
52.7344	79.6058
54.1992	80.2899
56.3965	81.1296
58.5938	81.9147
60.0586	82.3072
62.2559	82.8717
64.4531	83.4369
66.6504	83.9177
69.5801	84.4655
71.7773	84.8675
73.9746	85.2758
76.9043	85.738
79.834	86.1812
82.7637	86.5135
85.6934	86.7771
88.623	87.0665
91.5527	87.274
94.4824	87.4382
98.1445	87.6316
101.807	87.7194
105.469	87.8746
109.131	88.0551
112.793	88.2074
116.455	88.3553
120.85	88.4458
125.244	88.4966
129.639	88.412
134.033	88.3723
138.428	88.3285
143.555	88.2818
148.682	88.2319
153.809	88.0666
159.668	88.1628
164.795	88.2593
170.654	88.2489
176.514	88.0582
183.105	87.839
189.697	87.8776
196.289	87.9433
202.881	87.7063
210.205	87.4361
217.529	87.4623
225.586	87.5912
232.91	87.8402
241.699	87.5377
249.756	87.6858
258.545	87.6879
268.066	87.195
277.588	87.4443
287.109	87.2678
297.363	87.5574
307.617	87.7785
318.604	87.8459
329.59	87.8569
341.309	87.2446
353.76	87.4986
366.211	87.1612
378.662	87.3258
392.578	86.2658
405.762	85.9106
420.41	85.8996
435.059	85.9138
450.439	85.3509
466.553	85.041
482.666	85.0817
500.244	84.7488
517.822	84.425
536.133	84.055
554.443	83.8322
574.219	84.3011
594.727	84.071
615.234	83.8786
637.207	84.7348
659.912	84.3447
683.35	84.6494
706.787	85.0671
731.689	84.835
758.057	84.5595
784.424	84.6342
812.256	84.7097
840.82	84.5369
870.85	84.3307
901.611	84.6699
933.105	84.5664
966.064	84.5625
999.756	84.502
1,034.91	84.3242
1,071.53	83.8694
1,109.62	83.275
1,148.44	83.2886
1,189.45	83.3744
1,231.2	83.7352
1,274.41	83.8102
1,319.82	84.096
1,365.97	83.8537
1,414.31	83.6282
1,464.11	83.5874
1,515.38	83.2694
1,568.85	82.7459
1,624.51	82.3767
1,681.64	82.1877
1,740.97	82.2421
1,802.49	82.4419
1,866.21	81.82
1,932.13	81.1348
2,000.24	81.0418
2,070.56	81.514
2,143.8	81.19
2,219.24	80.6561
2,297.61	81.4571
2,378.17	82.6719
2,462.4	82.6104
2,548.83	82.0776
2,638.92	81.6808
2,731.93	81.1752
2,828.61	81.029
2,928.22	80.7591
3,031.49	80.1301
3,138.43	80.3821
3,249.02	80.6657
3,363.28	80.8613
3,481.93	81.1526
3,604.98	81.5312
3,732.42	81.1602
3,863.53	81.1761
3,999.76	81.1184
4,141.11	81.0587
4,286.87	81.368
4,438.48	81.4954
4,594.48	81.5208
4,757.08	81.6059
4,924.8	81.576
5,098.39	81.4546
5,277.83	81.1668
5,463.87	80.7616
5,656.49	80.3884
5,856.45	80.3112
6,062.99	80.7478
6,276.86	81.1592
6,498.05	81.3336
6,727.29	81.7586
6,964.6	81.7042
7,209.96	81.5591
7,464.11	80.9563
7,727.78	80.0491
8,000.24	79.6837
8,282.23	80.4405
8,574.46	81.3349
8,876.22	81.294
9,189.7	80.3783
9,513.43	79.1218
9,848.88	78.7154
10,196.8	79.0546
10,556.4	79.3303
10,928.5	79.0806
11,313.7	78.5061
11,712.9	77.7054
12,126	77.4552
12,553.7	77.892
12,996.1	78.0683
13,454.6	77.7618
13,928.5	77.0981
14,419.9	76.5849
14,928.2	76.9372
15,454.8	77.071
15,999.8	76.4621
16,564.5	77.8925
17,148.2	78.5947
17,753.2	79.1766
18,379.4	78.7462
19,027.6	77.4179
19,698.5	77.4809
19,999.5	77.5618
