"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	59.3405	20.5078	59.2242	20.5078	58.7047	20.5078	58.9821
21.2402	60.5853	21.2402	60.4886	21.2402	60.0562	21.2402	60.2857
21.9727	61.1577	21.9727	61.0623	21.9727	60.6437	21.9727	60.8661
22.7051	61.9435	22.7051	61.8469	22.7051	61.4184	22.7051	61.6459
23.4375	62.4857	23.4375	62.3754	23.4375	61.9133	23.4375	62.1605
24.1699	63.0315	24.1699	62.9131	24.1699	62.4339	24.1699	62.6914
25.6348	64.3059	25.6348	64.1894	25.6348	63.7337	25.6348	63.979
26.3672	65.035	26.3672	64.9122	26.3672	64.4453	26.3672	64.6976
27.0996	65.6189	27.0996	65.4959	27.0996	65.036	27.0996	65.2848
27.832	66.1265	27.832	66.0048	27.832	65.5532	27.832	65.7976
29.2969	67.2641	29.2969	67.1534	29.2969	66.7489	29.2969	66.9674
30.0293	67.6521	30.0293	67.5348	30.0293	67.1162	30.0293	67.3431
31.4941	68.7299	31.4941	68.6223	31.4941	68.2565	31.4941	68.4552
32.2266	69.1498	32.2266	69.0376	32.2266	68.6688	32.2266	68.8699
33.6914	69.9443	33.6914	69.8091	33.6914	69.3836	33.6914	69.6177
34.4238	70.4352	34.4238	70.3045	34.4238	69.9007	34.4238	70.1231
35.8887	71.3386	35.8887	71.2003	35.8887	70.7792	35.8887	71.0118
37.3535	72.0875	37.3535	71.9526	37.3535	71.5553	37.3535	71.7753
38.8184	72.9008	38.8184	72.7615	38.8184	72.3653	38.8184	72.5857
39.5508	73.3453	39.5508	73.1894	39.5508	72.7532	39.5508	72.997
41.0156	74.8035	41.0156	74.6767	41.0156	74.3069	41.0156	74.5115
42.4805	74.9462	42.4805	74.8169	42.4805	74.4595	42.4805	74.6585
43.9453	75.6545	43.9453	75.5121	43.9453	75.1273	43.9453	75.3427
45.4102	76.3389	45.4102	76.1891	45.4102	75.7929	45.4102	76.0154
47.6074	77.525	47.6074	77.3732	47.6074	76.992	47.6074	77.2075
49.0723	78.3144	49.0723	78.1634	49.0723	77.7949	49.0723	78.0039
50.5371	78.9563	50.5371	78.7984	50.5371	78.4205	50.5371	78.6357
52.7344	79.8047	52.7344	79.6394	52.7344	79.251	52.7344	79.4729
54.1992	80.4924	54.1992	80.3245	54.1992	79.9387	54.1992	80.1599
56.3965	81.3247	56.3965	81.161	56.3965	80.8062	56.3965	81.0111
58.5938	82.1107	58.5938	81.9443	58.5938	81.6009	58.5938	81.8007
60.0586	82.5072	60.0586	82.3355	60.0586	81.9913	60.0586	82.1926
62.2559	83.0877	62.2559	82.9017	62.2559	82.5341	62.2559	82.75
64.4531	83.6659	64.4531	83.4683	64.4531	83.0822	64.4531	83.3098
66.6504	84.1578	66.6504	83.9513	66.6504	83.5457	66.6504	83.7849
69.5801	84.6919	69.5801	84.492	69.5801	84.1328	69.5801	84.3475
71.7773	85.106	71.7773	84.8934	71.7773	84.5239	71.7773	84.7464
73.9746	85.52	73.9746	85.301	73.9746	84.9284	73.9746	85.1538
76.9043	85.9873	76.9043	85.7605	76.9043	85.3929	76.9043	85.6174
79.834	86.4439	79.834	86.2022	79.834	85.8209	79.834	86.0554
82.7637	86.7876	82.7637	86.5341	82.7637	86.1378	82.7637	86.3823
85.6934	87.0399	85.6934	86.7894	85.6934	86.4392	85.6934	86.6601
88.623	87.3409	88.623	87.0753	88.623	86.7223	88.623	86.9477
91.5527	87.5649	91.5527	87.2805	91.5527	86.912	91.5527	87.1492
94.4824	87.7554	94.4824	87.445	94.4824	87.041	94.4824	87.3016
98.1445	87.962	98.1445	87.639	98.1445	87.2135	98.1445	87.4877
101.807	88.0691	101.807	87.7185	101.807	87.2907	101.807	87.572
105.469	88.2459	105.469	87.8761	105.469	87.4124	105.469	87.7161
109.131	88.4378	109.131	88.0498	109.131	87.5923	109.131	87.8969
112.793	88.6429	112.793	88.2026	112.793	87.6905	112.793	88.0346
116.455	88.8192	116.455	88.3496	116.455	87.8083	116.455	88.1739
120.85	88.9384	120.85	88.4443	120.85	87.8197	120.85	88.234
125.244	88.9875	125.244	88.4853	125.244	87.8899	125.244	88.2909
129.639	88.9358	129.639	88.3875	129.639	87.7755	129.639	88.1957
134.033	88.9116	134.033	88.3349	134.033	87.7347	134.033	88.1553
138.428	88.8949	138.428	88.2834	138.428	87.6659	138.428	88.1036
143.555	88.8782	143.555	88.2305	143.555	87.5825	143.555	88.0447
148.682	88.9178	148.682	88.1617	148.682	87.418	148.682	87.9568
153.809	88.8292	153.809	87.9986	153.809	87.1224	153.809	87.7509
159.668	88.9485	159.668	88.0933	159.668	87.1806	159.668	87.8351
164.795	89.0673	164.795	88.1973	164.795	87.2437	164.795	87.9243
170.654	89.0595	170.654	88.1726	170.654	87.2527	170.654	87.9192
176.514	88.8997	176.514	87.9735	176.514	87.0054	176.514	87.7083
183.105	88.733	183.105	87.7429	183.105	86.6864	183.105	87.4548
189.697	88.8544	189.697	87.7885	189.697	86.6128	189.697	87.4683
196.289	88.9131	196.289	87.7801	196.289	86.7994	196.289	87.5632
202.881	88.7198	202.881	87.5239	202.881	86.5476	202.881	87.3257
210.205	88.5627	210.205	87.2462	210.205	86.112	210.205	87.0122
217.529	88.6417	217.529	87.2688	217.529	86.0248	217.529	87.004
225.586	88.9328	225.586	87.316	225.586	86.0597	225.586	87.1166
232.91	89.3216	232.91	87.7397	232.91	85.5266	232.91	87.1584
241.699	88.8947	241.699	87.436	241.699	85.1504	241.699	86.7893
249.756	89.1662	249.756	87.5955	249.756	84.9983	249.756	86.8752
258.545	89.0587	258.545	87.6545	258.545	85.354	258.545	86.9852
268.066	88.6421	268.066	87.0796	268.066	84.7672	268.066	86.4564
277.588	88.9654	277.588	87.3984	277.588	85.2095	277.588	86.8211
287.109	88.8341	287.109	87.1816	287.109	85.1271	287.109	86.6809
297.363	89.3552	297.363	87.5545	297.363	83.9695	297.363	86.6033
307.617	89.3049	307.617	88.0035	307.617	84.8641	307.617	87.0143
318.604	89.5647	318.604	87.9259	318.604	84.3077	318.604	86.9065
329.59	89.4572	329.59	88.1033	329.59	84.105	329.59	86.8744
341.309	88.7276	341.309	87.1659	341.309	84.7674	341.309	86.5118
353.76	89.1668	353.76	87.714	353.76	83.5677	353.76	86.4797
366.211	88.764	366.211	87.486	366.211	83.3185	366.211	86.1837
378.662	88.9128	378.662	87.6941	378.662	83.4235	378.662	86.3429
392.578	87.6828	392.578	86.7821	392.578	82.8513	392.578	85.4184
405.762	87.554	405.762	86.1436	405.762	82.7696	405.762	85.1172
420.41	87.7117	420.41	86.2629	420.41	81.3962	420.41	84.8442
435.059	87.502	435.059	86.2883	435.059	82.1577	435.059	84.9736
450.439	87.2445	450.439	85.6479	450.439	80.9286	450.439	84.3206
466.553	86.9571	466.553	85.2152	466.553	80.906	466.553	84.0453
482.666	87.0559	482.666	85.2842	482.666	80.6182	482.666	84.0372
500.244	86.8014	500.244	84.8773	500.244	80.2227	500.244	83.693
517.822	86.3872	517.822	84.7218	517.822	80.0684	517.822	83.4368
536.133	86.4473	536.133	83.788	536.133	79.6068	536.133	83.0204
554.443	86.1707	554.443	83.853	554.443	78.368	554.443	82.6532
574.219	86.7715	574.219	84.165	574.219	79.1102	574.219	83.1793
594.727	86.5777	594.727	83.6124	594.727	79.4368	594.727	82.9797
615.234	86.5953	615.234	83.7024	615.234	77.3969	615.234	82.6226
637.207	87.4773	637.207	83.9771	637.207	79.9348	637.207	83.6205
659.912	87.1666	659.912	83.9901	659.912	77.3205	659.912	82.9963
683.35	87.3952	683.35	84.0591	683.35	79.117	683.35	83.4348
706.787	87.9524	706.787	84.1761	706.787	78.7578	706.787	83.6859
731.689	87.7226	731.689	84.1764	731.689	77.3464	731.689	83.3528
758.057	87.3627	758.057	83.6197	758.057	77.345	758.057	82.9777
784.424	87.4531	784.424	83.8074	784.424	76.7936	784.424	83.0134
812.256	87.5182	812.256	83.7268	812.256	76.9035	812.256	83.0362
840.82	87.3404	840.82	83.4315	840.82	76.5305	840.82	82.7956
870.85	87.0757	870.85	83.2524	870.85	76.5896	870.85	82.6001
901.611	87.6894	901.611	83.6511	901.611	75.0676	901.611	82.9128
933.105	87.6337	933.105	83.5217	933.105	74.9415	933.105	82.8269
966.064	87.5971	966.064	83.4119	966.064	74.9933	966.064	82.7742
999.756	87.5763	999.756	82.7445	999.756	75.7588	999.756	82.6344
1,034.91	87.3472	1,034.91	82.365	1,034.91	75.2734	1,034.91	82.3356
1,071.53	86.5228	1,071.53	82.0071	1,071.53	74.2002	1,071.53	81.6224
1,109.62	86.0283	1,109.62	81.0162	1,109.62	73.2709	1,109.62	80.9421
1,148.44	86.0607	1,148.44	81.3767	1,148.44	72.1974	1,148.44	80.9827
1,189.45	86.3448	1,189.45	81.3875	1,189.45	72.645	1,189.45	81.1973
1,231.2	86.8079	1,231.2	81.9089	1,231.2	72.2455	1,231.2	81.6196
1,274.41	86.95	1,274.41	81.9632	1,274.41	72.0483	1,274.41	81.7158
1,319.82	87.1166	1,319.82	82.1214	1,319.82	71.9345	1,319.82	81.8644
1,365.97	86.9181	1,365.97	81.0223	1,365.97	71.935	1,365.97	81.4308
1,414.31	86.7114	1,414.31	80.722	1,414.31	71.013	1,414.31	81.1612
1,464.11	86.8178	1,464.11	81.0163	1,464.11	70.2355	1,464.11	81.275
