"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	60.2325	20.5078	58.3757	20.5078	59.4026
21.2402	61.4469	21.2402	59.5881	21.2402	60.6162
21.9727	62.0205	21.9727	60.1493	21.9727	61.1849
22.7051	62.7983	22.7051	60.8946	22.7051	61.9499
23.4375	63.2957	23.4375	61.4904	23.4375	62.4862
24.1699	63.8152	24.1699	62.0664	24.1699	63.0282
25.6348	65.0458	25.6348	63.3596	25.6348	64.284
26.3672	65.731	26.3672	64.1277	26.3672	65.0029
27.0996	66.3013	27.0996	64.7084	27.0996	65.5775
27.832	66.8189	27.832	65.1809	27.832	66.0767
29.2969	67.9322	29.2969	66.3327	29.2969	67.2057
30.0293	68.3074	30.0293	66.7286	30.0293	67.5893
31.4941	69.3557	31.4941	67.8286	31.4941	68.6589
32.2266	69.776	32.2266	68.2299	32.2266	69.0714
33.6914	70.5446	33.6914	69.0343	33.6914	69.8548
34.4238	71.0301	34.4238	69.5265	34.4238	70.343
35.8887	71.9114	35.8887	70.4467	35.8887	71.2405
37.3535	72.6407	37.3535	71.2171	37.3535	71.987
38.8184	73.4173	38.8184	72.0634	38.8184	72.7929
39.5508	73.8321	39.5508	72.535	39.5508	73.2318
41.0156	75.3105	41.0156	73.9598	41.0156	74.6875
42.4805	75.4446	42.4805	74.118	42.4805	74.8317
43.9453	76.1352	43.9453	74.8318	43.9453	75.5322
45.4102	76.8025	45.4102	75.5265	45.4102	76.2112
47.6074	77.9497	47.6074	76.7555	47.6074	77.3935
49.0723	78.7048	49.0723	77.5915	49.0723	78.1838
50.5371	79.339	50.5371	78.2305	50.5371	78.82
52.7344	80.1746	52.7344	79.0822	52.7344	79.6627
54.1992	80.8374	54.1992	79.8	54.1992	80.3496
56.3965	81.6623	56.3965	80.6383	56.3965	81.1804
58.5938	82.4436	58.5938	81.4225	58.5938	81.963
60.0586	82.8464	60.0586	81.8024	60.0586	82.3557
62.2559	83.4363	62.2559	82.346	62.2559	82.9253
64.4531	84.0079	64.4531	82.9199	64.4531	83.4979
66.6504	84.5058	66.6504	83.3894	66.6504	83.9834
69.5801	85.0533	69.5801	83.9031	69.5801	84.5162
71.7773	85.4591	71.7773	84.3147	71.7773	84.9245
73.9746	85.8701	73.9746	84.7264	73.9746	85.3358
76.9043	86.3371	76.9043	85.1841	76.9043	85.7988
79.834	86.8037	79.834	85.6092	79.834	86.2474
82.7637	87.1552	82.7637	85.9277	82.7637	86.5847
85.6934	87.4161	85.6934	86.1662	85.6934	86.836
88.623	87.72	88.623	86.4452	88.623	87.1292
91.5527	87.9477	91.5527	86.643	91.5527	87.3442
94.4824	88.1396	94.4824	86.8022	94.4824	87.5221
98.1445	88.3466	98.1445	87	98.1445	87.7253
101.807	88.4576	101.807	87.0747	101.807	87.821
105.469	88.6344	105.469	87.2322	105.469	87.9896
109.131	88.8342	109.131	87.3933	109.131	88.1732
112.793	89.0159	112.793	87.5524	112.793	88.3455
116.455	89.1782	116.455	87.7189	116.455	88.5096
120.85	89.3052	120.85	87.8316	120.85	88.6306
125.244	89.376	125.244	87.8404	125.244	88.6757
129.639	89.3029	129.639	87.7811	129.639	88.6083
134.033	89.2895	134.033	87.7135	134.033	88.5726
138.428	89.2825	138.428	87.6419	138.428	88.5392
143.555	89.2913	143.555	87.5385	143.555	88.5027
148.682	89.3103	148.682	87.4731	148.682	88.4881
153.809	89.1942	153.809	87.3463	153.809	88.3678
159.668	89.3175	159.668	87.4297	159.668	88.4754
164.795	89.404	164.795	87.5807	164.795	88.5873
170.654	89.4176	170.654	87.5526	170.654	88.5844
176.514	89.2401	176.514	87.3869	176.514	88.4116
183.105	89.1051	183.105	87.0953	183.105	88.2154
189.697	89.1369	189.697	87.2202	189.697	88.2835
196.289	89.1591	196.289	87.4035	196.289	88.3694
202.881	88.9953	202.881	87.0892	202.881	88.146
210.205	88.9112	210.205	86.6388	210.205	87.922
217.529	89.0339	217.529	86.5191	217.529	87.956
225.586	89.2651	225.586	86.6041	225.586	88.1353
232.91	89.5932	232.91	87.1172	232.91	88.5293
241.699	89.3289	241.699	86.8305	241.699	88.2569
249.756	89.6232	249.756	86.6372	249.756	88.3819
258.545	89.3909	258.545	86.8499	258.545	88.3037
268.066	89.0878	268.066	86.0208	268.066	87.8196
277.588	88.971	277.588	86.6425	277.588	87.961
287.109	88.9107	287.109	86.5267	287.109	87.8803
297.363	89.5491	297.363	86.827	297.363	88.3979
307.617	89.1957	307.617	87.4767	307.617	88.4207
318.604	89.4463	318.604	87.7796	318.604	88.6924
329.59	89.1738	329.59	88.0789	329.59	88.6608
341.309	88.4902	341.309	87.3841	341.309	87.9723
353.76	89.0883	353.76	87.4059	353.76	88.3281
366.211	88.6444	366.211	86.8697	366.211	87.8471
378.662	88.9237	378.662	86.9765	378.662	88.0583
392.578	87.5447	392.578	85.6768	392.578	86.7104
405.762	87.4393	405.762	85.0961	405.762	86.4239
420.41	87.6127	420.41	85.1122	420.41	86.54
435.059	87.3245	435.059	85.6154	435.059	86.5534
450.439	87.001	450.439	84.5418	450.439	85.9432
466.553	86.7682	466.553	83.909	466.553	85.5698
482.666	86.7372	482.666	84.2047	482.666	85.653
500.244	86.5084	500.244	83.5682	500.244	85.2825
517.822	85.8355	517.822	83.499	517.822	84.8225
536.133	85.6746	536.133	82.9065	536.133	84.5074
554.443	85.6656	554.443	82.4936	554.443	84.363
574.219	86.1778	574.219	82.811	574.219	84.8128
594.727	85.9171	594.727	83.1872	594.727	84.7632
615.234	85.261	615.234	83.1832	615.234	84.3452
637.207	86.717	637.207	83.1636	637.207	85.294
659.912	85.4828	659.912	83.9814	659.912	84.7967
683.35	85.5461	683.35	84.7335	683.35	85.1588
706.787	86.408	706.787	85.1024	706.787	85.8041
731.689	85.8479	731.689	85.3304	731.689	85.5969
758.057	85.7555	758.057	85.4476	758.057	85.6043
784.424	85.8002	784.424	85.4717	784.424	85.6391
812.256	86.2647	812.256	85.2148	812.256	85.7714
840.82	86.1618	840.82	85.415	840.82	85.8044
870.85	86.1358	870.85	85.1572	870.85	85.674
901.611	86.3476	901.611	85.1089	901.611	85.7723
933.105	86.542	933.105	84.4044	933.105	85.6034
966.064	87.0199	966.064	84.0857	966.064	85.796
999.756	87.0418	999.756	84.8738	999.756	86.0917
1,034.91	86.9921	1,034.91	84.9694	1,034.91	86.0975
1,071.53	87.3455	1,071.53	84.7999	1,071.53	86.2566
1,109.62	86.667	1,109.62	84.3464	1,109.62	85.6599
1,148.44	87.0392	1,148.44	83.8421	1,148.44	85.7285
1,189.45	87.0424	1,189.45	83.2213	1,189.45	85.5392
1,231.2	87.0652	1,231.2	83.7778	1,231.2	85.7254
1,274.41	87.2154	1,274.41	83.354	1,274.41	85.7005
