"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"
20.5078	31.0145	20.5078	31.227	20.5078	33.58	20.5078	36.0589	20.5078	36.1324	20.5078	38.6112	20.5078	40.9643
21.2402	7.49966	21.2402	17.3371	21.2402	25.0006	21.2402	26.4553	21.2402	31.8461	21.2402	33.3008	21.2402	40.9643
21.9727	32.531	21.9727	32.5092	21.9727	32.1228	21.9727	32.025	21.9727	41.4485	21.9727	41.3507	21.9727	40.9643
22.7051	37.5606	22.7051	37.5596	22.7051	37.4753	22.7051	37.7672	22.7051	40.7566	22.7051	41.0486	22.7051	40.9643
23.4375	36.0554	23.4375	36.0594	23.4375	35.9818	23.4375	36.3349	23.4375	40.6887	23.4375	41.0419	23.4375	40.9643
24.1699	38.6653	24.1699	38.6749	24.1699	38.5121	24.1699	38.5115	24.1699	41.1277	24.1699	41.1271	24.1699	40.9643
25.6348	42.0403	25.6348	42.044	25.6348	41.9025	25.6348	42.1995	25.6348	40.8088	25.6348	41.1058	25.6348	40.9643
26.3672	46.2883	26.3672	46.2866	26.3672	46.1676	26.3672	46.4797	26.3672	40.7712	26.3672	41.0832	26.3672	40.9643
27.0996	46.9926	27.0996	46.993	27.0996	46.8513	27.0996	47.0972	27.0996	40.8601	27.0996	41.106	27.0996	40.9643
27.832	49.6278	27.832	49.6283	27.832	49.536	27.832	49.8317	27.832	40.7609	27.832	41.0566	27.832	40.9643
29.2969	52.4338	29.2969	52.4396	29.2969	52.4011	29.2969	52.7631	29.2969	40.6407	29.2969	41.0028	29.2969	40.9643
