"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-4.8319	20.5078	-2.35307
21.2402	-9.11821	21.2402	-7.66348
21.9727	0.484189	21.9727	0.386394
22.7051	-0.207642	22.7051	0.0843044
23.4375	-0.275523	23.4375	0.0775904
24.1699	0.163421	24.1699	0.162796
25.6348	-0.15547	25.6348	0.141491
26.3672	-0.193089	26.3672	0.118974
27.0996	-0.104151	27.0996	0.141732
27.832	-0.203386	27.832	0.0922959
29.2969	-0.323539	29.2969	0.0385051
30.0293	-0.340736	30.0293	0.0371748
31.4941	-0.11202	31.4941	0.116172
32.2266	-0.115747	32.2266	0.0949144
33.6914	-0.051162	33.6914	0.121259
34.4238	-0.0845702	34.4238	0.105121
35.8887	-0.0333752	35.8887	0.105377
37.3535	0.0334099	37.3535	0.125964
38.8184	0.0473351	38.8184	0.122416
39.5508	0.0662463	39.5508	0.125006
41.0156	0.0728069	41.0156	0.125278
42.4805	0.119054	42.4805	0.138632
43.9453	0.157332	43.9453	0.147296
45.4102	0.186044	45.4102	0.153797
47.6074	0.222277	47.6074	0.162335
49.0723	0.240079	49.0723	0.166173
50.5371	0.255716	50.5371	0.17083
52.7344	0.276272	52.7344	0.175247
54.1992	0.286519	54.1992	0.177302
56.3965	0.293428	56.3965	0.178705
58.5938	0.277374	58.5938	0.172032
60.0586	0.310852	60.0586	0.182745
62.2559	0.363067	62.2559	0.199156
64.4531	0.375897	64.4531	0.202691
66.6504	0.402625	66.6504	0.211558
69.5801	0.410637	69.5801	0.212752
71.7773	0.384205	71.7773	0.2022
73.9746	0.400625	73.9746	0.208566
76.9043	0.402517	76.9043	0.209156
79.834	0.395552	79.834	0.211025
82.7637	0.530394	82.7637	0.251978
85.6934	0.639531	85.6934	0.283447
88.623	0.309754	88.623	0.169283
91.5527	0.278005	91.5527	0.176365
94.4824	0.536616	94.4824	0.265984
98.1445	0.574985	98.1445	0.267739
101.807	0.529819	101.807	0.25728
105.469	0.520106	105.469	0.2557
109.131	0.532931	109.131	0.258481
112.793	0.547432	112.793	0.266634
116.455	0.582387	116.455	0.280989
120.85	0.600496	120.85	0.28919
125.244	0.59406	125.244	0.290404
129.639	0.634447	129.639	0.303761
134.033	0.618905	134.033	0.300154
138.428	0.631106	138.428	0.310454
143.555	0.670689	143.555	0.331549
148.682	0.71082	148.682	0.347352
153.809	0.799135	153.809	0.372026
159.668	0.771904	159.668	0.366945
164.795	0.796832	164.795	0.373465
170.654	0.753869	170.654	0.369638
176.514	0.793527	176.514	0.391683
183.105	0.885506	183.105	0.426638
189.697	0.927309	189.697	0.43689
196.289	0.898546	196.289	0.43724
202.881	0.99588	202.881	0.47679
210.205	1.01557	210.205	0.486423
217.529	1.03853	217.529	0.512285
225.586	1.19856	225.586	0.567372
232.91	1.35485	232.91	0.61951
241.699	1.43099	241.699	0.624779
249.756	1.48294	249.756	0.648426
258.545	1.4609	258.545	0.634763
268.066	1.47331	268.066	0.641161
277.588	1.48842	277.588	0.690304
287.109	1.62298	287.109	0.698678
297.363	1.67147	297.363	0.707608
307.617	1.68438	307.617	0.729769
318.604	1.89646	318.604	0.790251
329.59	1.82989	329.59	0.74082
341.309	1.78501	341.309	0.74435
353.76	1.96748	353.76	0.795585
366.211	2.16202	366.211	0.875833
378.662	2.1838	378.662	0.804338
392.578	1.98149	392.578	0.678031
405.762	2.0031	405.762	0.759722
420.41	2.01728	420.41	0.61275
435.059	1.63963	435.059	0.554647
450.439	1.86037	450.439	0.769077
466.553	1.91638	466.553	0.829234
482.666	2.29007	482.666	0.976342
500.244	2.26056	500.244	0.91336
517.822	2.4769	517.822	1.16645
536.133	3.11202	536.133	1.31149
554.443	2.85623	554.443	1.02239
574.219	3.04416	574.219	1.14168
594.727	3.3511	594.727	1.28763
615.234	3.19427	615.234	1.06054
637.207	2.67339	637.207	0.809051
659.912	2.10921	659.912	0.572162
683.35	2.33842	683.35	0.722124
706.787	2.37068	706.787	0.860752
731.689	1.26023	731.689	0.702163
758.057	1.0663	758.057	1.3288
784.424	3.78083	784.424	1.85167
812.256	3.91058	812.256	1.88263
840.82	4.39339	840.82	2.09989
870.85	4.8146	870.85	2.22478
901.611	4.88331	901.611	2.11341
933.105	5.1411	933.105	2.20786
966.064	5.30915	966.064	2.21823
999.756	4.99091	999.756	2.06432
1,034.91	4.62051	1,034.91	1.71052
1,071.53	4.67152	1,071.53	1.7439
1,109.62	4.92805	1,109.62	1.94695
1,148.44	5.13121	1,148.44	2.08448
1,189.45	5.13035	1,189.45	2.13461
1,231.2	5.33853	1,231.2	2.33817
1,274.41	5.97461	1,274.41	2.63118
1,319.82	5.76842	1,319.82	2.38348
1,365.97	5.79654	1,365.97	2.36966
1,414.31	5.97177	1,414.31	2.51505
1,464.11	5.95331	1,464.11	2.47269
1,515.38	6.05618	1,515.38	2.42664
1,568.85	5.79842	1,568.85	2.30804
1,624.51	5.28713	1,624.51	2.06223
1,681.64	4.79179	1,681.64	1.69587
1,740.97	5.17988	1,740.97	1.87076
1,802.49	6.58255	1,802.49	2.58296
1,866.21	7.25813	1,866.21	2.9246
1,932.13	7.23138	1,932.13	3.00068
2,000.24	7.40459	2,000.24	3.31888
2,070.56	7.72052	2,070.56	3.56582
2,143.8	7.60558	2,143.8	3.61364
2,219.24	7.13347	2,219.24	3.51214
2,297.61	7.16938	2,297.61	3.58015
2,378.17	7.24461	2,378.17	3.55792
2,462.4	7.08666	2,462.4	3.51276
2,548.83	6.99923	2,548.83	3.37726
2,638.92	6.91463	2,638.92	3.32597
2,731.93	6.85851	2,731.93	3.29324
2,828.61	7.08181	2,828.61	3.32664
2,928.22	6.92234	2,928.22	3.20044
3,031.49	6.55948	3,031.49	3.09556
3,138.43	6.38658	3,138.43	3.0165
3,249.02	6.02936	3,249.02	2.78535
3,363.28	5.70968	3,363.28	2.53098
3,481.93	5.92138	3,481.93	2.45055
3,604.98	5.99887	3,604.98	2.36511
3,732.42	6.29127	3,732.42	2.45612
3,863.53	6.7269	3,863.53	2.73212
3,999.76	6.7996	3,999.76	2.8401
4,141.11	6.87369	4,141.11	2.87795
4,286.87	6.9381	4,286.87	2.99181
4,438.48	7.0563	4,438.48	3.04805
4,594.48	7.42704	4,594.48	3.38877
4,757.08	7.44947	4,757.08	3.40495
4,924.8	7.41915	4,924.8	3.41195
5,098.39	7.20956	5,098.39	3.32911
5,277.83	7.1287	5,277.83	3.13538
5,463.87	7.42454	5,463.87	3.18998
5,656.49	7.26278	5,656.49	3.04462
5,856.45	7.23991	5,856.45	2.98296
6,062.99	7.4112	6,062.99	3.03792
6,276.86	7.62589	6,276.86	3.1444
6,498.05	7.54248	6,498.05	3.09484
6,727.29	7.48148	6,727.29	3.07062
6,964.6	7.29576	6,964.6	2.96759
7,209.96	7.16259	7,209.96	2.90957
7,464.11	6.98919	7,464.11	2.82185
7,727.78	6.83971	7,727.78	2.68919
8,000.24	7.06568	8,000.24	2.73418
8,282.23	7.29214	8,282.23	2.83673
8,574.46	7.03648	8,574.46	2.65281
8,876.22	7.0937	8,876.22	2.6066
9,189.7	7.04466	9,189.7	2.57616
9,513.43	7.01937	9,513.43	2.62325
9,848.88	7.20341	9,848.88	2.78368
10,196.8	7.2629	10,196.8	2.79069
10,556.4	7.25722	10,556.4	2.76045
10,928.5	7.3533	10,928.5	2.81006
11,313.7	7.27035	11,313.7	2.78753
11,712.9	7.19921	11,712.9	2.83902
12,126	7.27086	12,126	2.89998
12,553.7	7.34186	12,553.7	2.87601
12,996.1	7.34845	12,996.1	2.89195
13,454.6	7.32319	13,454.6	2.86136
13,928.5	7.56204	13,928.5	2.99556
14,419.9	7.71024	14,419.9	3.1023
14,928.2	7.91153	14,928.2	3.26434
15,454.8	8.09376	15,454.8	3.35795
15,999.8	8.01958	15,999.8	3.22594
16,564.5	8.21201	16,564.5	3.38449
17,148.2	8.47537	17,148.2	3.52405
17,753.2	8.77252	17,753.2	3.66745
18,379.4	8.89598	18,379.4	3.77716
19,027.6	8.98119	19,027.6	3.84346
19,698.5	8.85448	19,698.5	3.72756
19,999.5	8.64384	19,999.5	3.59236
