"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
20.5078	31.7854	20.5078	33.3124	20.5078	31.2554	20.5078	33.1152	20.5078	37.8998	20.5078	33.58
21.2402	16.3338	21.2402	16.9935	21.2402	18.2792	21.2402	26.85	21.2402	29.4303	21.2402	25.0006
21.9727	35.4963	21.9727	26.8554	21.9727	32.4713	21.9727	31.8868	21.9727	29.1943	21.9727	32.1228
22.7051	39.6607	22.7051	34.5593	22.7051	37.541	22.7051	37.3545	22.7051	36.9733	22.7051	37.4753
23.4375	38.4273	23.4375	32.5347	23.4375	36.0382	23.4375	35.8345	23.4375	35.389	23.4375	35.9818
24.1699	40.542	24.1699	36.2011	24.1699	38.6616	24.1699	38.5229	24.1699	37.1264	24.1699	38.5121
25.6348	44.2072	25.6348	38.757	25.6348	42.0265	25.6348	41.8307	25.6348	40.9463	25.6348	41.9025
26.3672	48.1516	26.3672	43.8275	26.3672	46.2705	26.3672	46.0812	26.3672	45.4474	26.3672	46.1676
27.0996	48.8805	27.0996	44.3485	27.0996	46.9779	27.0996	46.7964	27.0996	45.9643	27.0996	46.8513
27.832	51.3584	27.832	47.3685	27.832	49.6147	27.832	49.4777	27.832	48.9482	27.832	49.536
29.2969	54.0875	29.2969	50.3148	29.2969	52.4284	29.2969	52.3619	29.2969	52.0495	29.2969	52.4011
30.0293	56.2479	30.0293	52.5236	30.0293	54.5964	30.0293	54.5361	30.0293	54.1894	30.0293	54.5701
31.4941	58.2873	31.4941	54.6502	31.4941	56.6911	31.4941	56.5218	31.4941	56.0114	31.4941	56.5881
32.2266	60.4244	32.2266	57.0364	32.2266	58.939	32.2266	58.81	32.2266	58.3794	32.2266	58.8553
33.6914	62.9703	33.6914	59.6477	33.6914	61.5166	33.6914	61.3493	33.6914	60.875	33.6914	61.4073
34.4238	64.5376	34.4238	61.3313	34.4238	63.1348	34.4238	62.9881	34.4238	62.5965	34.4238	63.0406
35.8887	67.4952	35.8887	64.5078	35.8887	66.1889	35.8887	66.0521	35.8887	65.6575	35.8887	66.0934
