"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"
20.5078	34.6807
21.2402	25.3172
21.9727	32.1287
22.7051	37.616
23.4375	36.1498
24.1699	38.5317
25.6348	42.0524
26.3672	46.3217
27.0996	46.978
27.832	49.6795
29.2969	52.5686
30.0293	54.7448
31.4941	56.7038
32.2266	58.9605
33.6914	61.4985
34.4238	63.1376
35.8887	66.1676
37.3535	68.8869
38.8184	71.6435
39.5508	72.8608
41.0156	74.9324
42.4805	76.2359
43.9453	77.1352
45.4102	77.6454
47.6074	77.797
49.0723	77.751
50.5371	77.628
52.7344	77.46
54.1992	77.3482
56.3965	77.2113
58.5938	77.1052
60.0586	77.0083
62.2559	76.9198
64.4531	76.8767
66.6504	76.8668
69.5801	76.9291
71.7773	76.8913
73.9746	76.9557
76.9043	76.9427
79.834	77.0475
82.7637	77.281
85.6934	77.3883
88.623	77.2683
91.5527	77.2362
94.4824	77.702
98.1445	77.7975
101.807	77.9692
105.469	78.111
109.131	78.3212
112.793	78.5149
116.455	78.7022
120.85	78.8853
125.244	78.996
129.639	79.1981
134.033	79.3134
138.428	79.4931
143.555	79.6938
148.682	79.8361
153.809	80.0859
159.668	80.2084
164.795	80.3405
170.654	80.3206
176.514	80.3971
183.105	80.4485
189.697	80.5516
196.289	80.5758
202.881	80.6056
210.205	80.6331
217.529	80.5783
225.586	80.6497
232.91	80.728
241.699	80.7316
249.756	80.7784
258.545	80.8795
268.066	80.6604
277.588	80.8168
287.109	80.8805
297.363	80.7444
307.617	80.7081
318.604	80.6593
329.59	80.55
341.309	80.2645
353.76	80.3264
366.211	80.4367
378.662	80.6019
392.578	80.2409
405.762	80.0642
420.41	80.2379
435.059	79.815
450.439	79.8623
466.553	79.7594
482.666	79.6907
500.244	79.4002
517.822	78.9506
536.133	79.0397
554.443	78.8058
574.219	78.7923
594.727	78.8025
615.234	79.014
637.207	78.8415
659.912	78.6506
683.35	79.0213
706.787	79.1862
731.689	77.4328
758.057	73.5528
784.424	77.1679
812.256	78.0255
840.82	78.7254
870.85	79.2687
901.611	79.7165
933.105	80.2219
966.064	80.6986
999.756	80.5366
1,034.91	80.4395
1,071.53	80.1926
1,109.62	80.189
1,148.44	79.7054
1,189.45	79.6223
1,231.2	79.6998
1,274.41	80.7678
1,319.82	80.7325
1,365.97	80.7188
1,414.31	80.1059
1,464.11	79.484
1,515.38	78.9231
1,568.85	78.2543
1,624.51	77.3848
1,681.64	76.6087
1,740.97	76.0802
1,802.49	76.2606
1,866.21	76.3388
1,932.13	76.0817
2,000.24	76.6226
2,070.56	77.4936
2,143.8	77.5003
2,219.24	77.2417
2,297.61	77.9467
2,378.17	78.3643
2,462.4	77.9536
2,548.83	77.4965
2,638.92	77.0026
2,731.93	76.58
2,828.61	76.6774
2,928.22	76.8296
3,031.49	76.6011
3,138.43	76.8772
3,249.02	76.8613
3,363.28	76.6365
3,481.93	77.1589
3,604.98	77.4095
3,732.42	77.6198
3,863.53	77.9452
3,999.76	77.9175
4,141.11	77.6471
4,286.87	77.6415
4,438.48	77.2789
4,594.48	77.1199
4,757.08	77.048
4,924.8	76.9114
5,098.39	76.7496
5,277.83	76.6683
5,463.87	77.4773
5,656.49	77.6769
5,856.45	77.8986
6,062.99	77.8671
6,276.86	78.0206
6,498.05	78.0852
6,727.29	78.3004
6,964.6	78.4735
7,209.96	78.3625
7,464.11	77.9994
7,727.78	77.5285
8,000.24	77.3494
8,282.23	77.276
8,574.46	77.2777
8,876.22	77.1033
9,189.7	76.2537
9,513.43	75.3568
9,848.88	74.6809
10,196.8	74.3109
10,556.4	75.351
10,928.5	76.3545
11,313.7	76.4281
11,712.9	76.577
12,126	76.6684
12,553.7	76.6963
12,996.1	76.3155
13,454.6	75.7298
13,928.5	76.0921
14,419.9	74.5305
14,928.2	74.1001
15,454.8	73.183
15,999.8	73.1934
16,564.5	75.7238
17,148.2	76.76
17,753.2	76.8126
18,379.4	75.1904
19,027.6	72.6538
19,698.5	71.1207
19,999.5	69.6687
