"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"
20.5078	31.2554	20.5078	33.1152	20.5078	38.7804	20.5078	36.8253
21.2402	18.2792	21.2402	26.85	21.2402	29.4685	21.2402	27.8857
21.9727	32.4713	21.9727	31.8868	21.9727	27.2218	21.9727	30.2152
22.7051	37.541	22.7051	37.3545	22.7051	36.7259	22.7051	37.0738
23.4375	36.0382	23.4375	35.8345	23.4375	35.1427	23.4375	35.5269
24.1699	38.6616	24.1699	38.5229	24.1699	36.3631	24.1699	37.5511
25.6348	42.0265	25.6348	41.8307	25.6348	40.5455	25.6348	41.2447
26.3672	46.2705	26.3672	46.0812	26.3672	45.187	26.3672	45.6738
27.0996	46.9779	27.0996	46.7964	27.0996	45.5913	27.0996	46.2433
27.832	49.6147	27.832	49.4777	27.832	48.7288	27.832	49.128
29.2969	52.4284	29.2969	52.3619	29.2969	51.9203	29.2969	52.1482
30.0293	54.5964	30.0293	54.5361	30.0293	54.0431	30.0293	54.2954
31.4941	56.6911	31.4941	56.5218	31.4941	55.8059	31.4941	56.195
32.2266	58.939	32.2266	58.81	32.2266	58.2073	32.2266	58.5296
33.6914	61.5166	33.6914	61.3493	33.6914	60.6902	33.6914	61.0496
34.4238	63.1348	34.4238	62.9881	34.4238	62.4468	34.4238	62.7416
35.8887	66.1889	35.8887	66.0521	35.8887	65.5047	35.8887	65.8005
37.3535	68.9466	37.3535	68.7832	37.3535	68.1958	37.3535	68.5176
38.8184	71.7085	38.8184	71.5543	38.8184	71.0004	38.8184	71.3032
39.5508	72.9355	39.5508	72.7785	39.5508	72.2281	39.5508	72.5297
41.0156	75.0106	41.0156	74.8551	41.0156	74.3037	41.0156	74.6055
42.4805	76.3401	42.4805	76.1691	42.4805	75.5973	42.4805	75.9128
43.9453	77.2602	43.9453	77.0806	43.9453	76.4885	43.9453	76.8162
45.4102	77.7859	45.4102	77.5999	45.4102	76.9921	45.4102	77.3293
47.6074	77.9571	47.6074	77.7618	47.6074	77.1402	47.6074	77.4864
49.0723	77.9206	49.0723	77.7213	49.0723	77.0953	49.0723	77.4447
50.5371	77.8064	50.5371	77.6017	50.5371	76.97	50.5371	77.3234
52.7344	77.6494	52.7344	77.44	52.7344	76.806	52.7344	77.1616
54.1992	77.543	54.1992	77.332	54.1992	76.6935	54.1992	77.0518
56.3965	77.4099	56.3965	77.1971	56.3965	76.5709	56.3965	76.9233
58.5938	77.2942	58.5938	77.0879	58.5938	76.5155	58.5938	76.8389
60.0586	77.2162	60.0586	76.9966	60.0586	76.3922	60.0586	76.7348
62.2559	77.1571	62.2559	76.9204	62.2559	76.2423	62.2559	76.6266
64.4531	77.1212	64.4531	76.8809	64.4531	76.197	64.4531	76.5852
66.6504	77.1265	66.6504	76.8747	66.6504	76.1724	66.6504	76.5726
69.5801	77.1928	69.5801	76.9399	69.5801	76.2293	69.5801	76.6341
71.7773	77.1394	71.7773	76.8997	71.7773	76.2487	71.7773	76.6197
73.9746	77.2134	73.9746	76.9649	73.9746	76.3001	73.9746	76.6802
76.9043	77.2016	76.9043	76.9517	76.9043	76.2956	76.9043	76.6715
79.834	77.3041	79.834	77.0471	79.834	76.4547	79.834	76.7994
82.7637	77.6124	82.7637	77.3096	82.7637	76.5098	82.7637	76.9723
85.6934	77.7792	85.6934	77.4423	85.6934	76.4715	85.6934	77.0325
88.623	77.4712	88.623	77.2784	88.623	76.7456	88.623	77.046
91.5527	77.4273	91.5527	77.1991	91.5527	76.8499	91.5527	77.0656
94.4824	78.0415	94.4824	77.7074	94.4824	77.0029	94.4824	77.4226
98.1445	78.1544	98.1445	77.8318	98.1445	77.0055	98.1445	77.4864
101.807	78.3024	101.807	77.9861	101.807	77.2583	101.807	77.6861
105.469	78.4394	105.469	78.1236	105.469	77.4243	105.469	77.8372
109.131	78.6562	109.131	78.3345	109.131	77.6471	109.131	78.0551
112.793	78.8594	112.793	78.5251	112.793	77.8315	112.793	78.2455
116.455	79.0673	116.455	78.7137	116.455	77.9779	116.455	78.4183
120.85	79.2614	120.85	78.8941	120.85	78.1645	120.85	78.6047
125.244	79.3698	125.244	78.997	125.244	78.3003	125.244	78.7246
129.639	79.5947	129.639	79.2087	129.639	78.4446	129.639	78.9072
134.033	79.7018	134.033	79.3185	134.033	78.586	134.033	79.0314
138.428	79.8906	138.428	79.4873	138.428	78.7665	138.428	79.2103
143.555	80.1164	143.555	79.6798	143.555	78.9379	143.555	79.4003
148.682	80.2823	148.682	79.826	148.682	79.0576	148.682	79.5386
153.809	80.5796	153.809	80.0984	153.809	79.198	153.809	79.7549
159.668	80.6884	159.668	80.2088	159.668	79.3672	159.668	79.8923
164.795	80.8338	164.795	80.3501	164.795	79.4701	164.795	80.0167
170.654	80.7938	170.654	80.2988	170.654	79.5484	170.654	80.0288
