"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  	0.2	V at 	1	m]"
20.5078	31.7854	20.5078	33.3124	20.5078	32.6157
21.2402	16.3338	21.2402	16.9935	21.2402	16.6761
21.9727	35.4963	21.9727	26.8554	21.9727	33.0426
22.7051	39.6607	22.7051	34.5593	22.7051	37.8196
23.4375	38.4273	23.4375	32.5347	23.4375	36.412
24.1699	40.542	24.1699	36.2011	24.1699	38.8928
25.6348	44.2072	25.6348	38.757	25.6348	42.2862
26.3672	48.1516	26.3672	43.8275	26.3672	46.5069
27.0996	48.8805	27.0996	44.3485	27.0996	47.1806
27.832	51.3584	27.832	47.3685	27.832	49.8064
29.2969	54.0875	29.2969	50.3148	29.2969	52.5985
30.0293	56.2479	30.0293	52.5236	30.0293	54.7733
31.4941	58.2873	31.4941	54.6502	31.4941	56.8389
32.2266	60.4244	32.2266	57.0364	32.2266	59.0527
33.6914	62.9703	33.6914	59.6477	33.6914	61.6193
34.4238	64.5376	34.4238	61.3313	34.4238	63.2239
35.8887	67.4952	35.8887	64.5078	35.8887	66.2535
37.3535	70.2025	37.3535	67.3126	37.3535	68.9936
38.8184	72.8971	38.8184	70.1534	38.8184	71.7384
39.5508	74.0906	39.5508	71.4239	39.5508	72.9588
41.0156	76.1314	41.0156	73.5443	41.0156	75.0277
42.4805	77.4333	42.4805	74.8773	42.4805	76.3407
43.9453	78.3095	43.9453	75.8391	43.9453	77.2476
45.4102	78.8003	45.4102	76.3992	45.4102	77.7636
47.6074	78.9288	47.6074	76.6091	47.6074	77.922
49.0723	78.8666	49.0723	76.5979	49.0723	77.8787
50.5371	78.7353	50.5371	76.4945	50.5371	77.7579
52.7344	78.5463	52.7344	76.3672	52.7344	77.592
54.1992	78.4249	54.1992	76.2744	54.1992	77.4814
56.3965	78.2688	56.3965	76.162	56.3965	77.3419
58.5938	78.1259	58.5938	76.083	58.5938	77.2235
60.0586	78.0371	60.0586	76.0051	60.0586	77.1389
62.2559	77.9681	62.2559	75.9339	62.2559	77.069
64.4531	77.9138	64.4531	75.9118	64.4531	77.0272
66.6504	77.9013	66.6504	75.9257	66.6504	77.0249
69.5801	77.9585	69.5801	76.0047	69.5801	77.0906
71.7773	77.8903	71.7773	75.9699	71.7773	77.0354
73.9746	77.9574	73.9746	76.0454	73.9746	77.1057
76.9043	77.9365	76.9043	76.042	76.9043	77.0917
79.834	78.022	79.834	76.142	79.834	77.1829
82.7637	78.2918	82.7637	76.4725	82.7637	77.4767
85.6934	78.431	85.6934	76.6479	85.6934	77.6303
88.623	78.1949	88.623	76.3428	88.623	77.3668
91.5527	78.111	91.5527	76.3443	91.5527	77.3169
94.4824	78.7118	94.4824	76.8704	94.4824	77.888
98.1445	78.8183	98.1445	76.9963	98.1445	78.0021
101.807	78.9661	101.807	77.153	101.807	78.1535
105.469	79.0944	105.469	77.2968	105.469	78.2879
109.131	79.2867	109.131	77.5437	109.131	78.5021
112.793	79.4991	112.793	77.7206	112.793	78.7002
116.455	79.7069	116.455	77.9123	116.455	78.9017
120.85	79.8835	120.85	78.1155	120.85	79.0889
125.244	79.997	125.244	78.2103	125.244	79.1949
129.639	80.2179	129.639	78.4168	129.639	79.41
134.033	80.3203	134.033	78.5343	134.033	79.5185
138.428	80.5229	138.428	78.6956	138.428	79.7047
143.555	80.7714	143.555	78.86	143.555	79.92
148.682	80.9126	148.682	79.0179	148.682	80.0677
153.809	81.1829	153.809	79.3156	153.809	80.3488
159.668	81.3009	159.668	79.4175	159.668	80.4605
164.795	81.4518	164.795	79.5327	164.795	80.5974
170.654	81.3883	170.654	79.5454	170.654	80.5639
176.514	81.4988	176.514	79.6056	176.514	80.6545
183.105	81.6012	183.105	79.6562	183.105	80.7367
189.697	81.7082	189.697	79.7937	189.697	80.8556
196.289	81.6944	196.289	79.843	196.289	80.8666
202.881	81.768	202.881	79.8849	202.881	80.9277
210.205	81.8115	210.205	79.9193	210.205	80.9676
217.529	81.7874	217.529	79.8415	217.529	80.9226
225.586	81.9146	225.586	79.9585	225.586	81.0458
232.91	82.1	232.91	80.0264	232.91	81.1858
241.699	82.1769	241.699	80.0697	241.699	81.2499
249.756	82.2793	249.756	79.9946	249.756	81.2855
258.545	82.3453	258.545	80.1457	258.545	81.3832
268.066	82.2083	268.066	79.8002	268.066	81.169
277.588	82.2221	277.588	80.1119	277.588	81.2939
287.109	82.2603	287.109	80.3516	287.109	81.4099
297.363	82.2674	297.363	80.1998	297.363	81.3555
307.617	82.3438	307.617	79.9479	307.617	81.309
318.604	82.3213	318.604	80.0359	318.604	81.3272
329.59	82.2152	329.59	79.8904	329.59	81.2065
341.309	81.9136	341.309	79.5527	341.309	80.8917
353.76	82.0056	353.76	79.6278	353.76	80.9774
366.211	82.2368	366.211	79.6897	366.211	81.1474
378.662	82.4683	378.662	79.9383	378.662	81.385
392.578	81.983	392.578	79.7097	392.578	80.9934
405.762	81.866	405.762	79.4405	405.762	80.8204
420.41	82.142	420.41	79.603	420.41	81.0554
435.059	81.3226	435.059	79.1201	435.059	80.3595
450.439	81.5578	450.439	78.8323	450.439	80.4055
466.553	81.526	466.553	78.6915	466.553	80.336
482.666	81.666	482.666	78.838	482.666	80.4782
500.244	81.4046	500.244	78.6868	500.244	80.2549
517.822	81.0026	517.822	77.9235	517.822	79.7304
536.133	81.3605	536.133	77.8286	536.133	79.9441
554.443	81.0857	554.443	77.8009	554.443	79.7467
574.219	81.0939	574.219	77.5926	574.219	79.687
594.727	81.1228	594.727	77.8692	594.727	79.7938
615.234	81.343	615.234	78.1929	615.234	80.0475
637.207	80.8141	637.207	77.72	637.207	79.537
659.912	80.4965	659.912	76.7466	659.912	79.0143
683.35	81.2243	683.35	75.9872	683.35	79.3515
706.787	81.9443	706.787	75.1162	706.787	79.7531
731.689	81.3225	731.689	71.2797	731.689	78.7223
758.057	75.3199	758.057	75.1473	758.057	75.2345
784.424	78.466	784.424	77.8043	784.424	78.1477
812.256	79.718	812.256	77.7659	812.256	78.8507
840.82	80.1727	840.82	77.9536	840.82	79.2034
870.85	80.6834	870.85	78.1095	870.85	79.5844
901.611	81.0313	901.611	79.3898	901.611	80.2876
933.105	81.7847	933.105	79.5194	933.105	80.7981
966.064	82.4371	966.064	79.7436	966.064	81.2959
999.756	82.1551	999.756	79.2391	999.756	80.9374
1,034.91	81.8747	1,034.91	78.9888	1,034.91	80.6672
1,071.53	82.0731	1,071.53	79.5366	1,071.53	80.9875
1,109.62	82.2451	1,109.62	79.51	1,109.62	81.0894
1,148.44	81.8572	1,148.44	78.6533	1,148.44	80.5442
1,189.45	81.7994	1,189.45	78.3613	1,189.45	80.412
1,231.2	81.3257	1,231.2	78.9444	1,231.2	80.2962
1,274.41	81.2534	1,274.41	80.3345	1,274.41	80.8182
1,319.82	81.934	1,319.82	80.3915	1,319.82	81.2309
1,365.97	82.5039	1,365.97	80.0417	1,365.97	81.445
1,414.31	82.6579	1,414.31	78.6656	1,414.31	81.1052
1,464.11	82.5807	1,464.11	76.637	1,464.11	80.555
1,515.38	82.5345	1,515.38	74.944	1,515.38	80.2215
1,568.85	82.9333	1,568.85	72.859	1,568.85	80.3302
1,624.51	82.6784	1,624.51	72.4711	1,624.51	80.0636
1,681.64	82.1954	1,681.64	74.5053	1,681.64	79.8678
1,740.97	81.292	1,740.97	73.5263	1,740.97	78.9534
1,802.49	80.2739	1,802.49	69.9525	1,802.49	77.6492
1,866.21	79.5065	1,866.21	64.5788	1,866.21	76.6337
1,932.13	78.5195	1,932.13	64.1617	1,932.13	75.6655
2,000.24	77.1362	2,000.24	67.3438	2,000.24	74.5591
2,070.56	76.8695	2,070.56	68.863	2,070.56	74.4972
2,143.8	76.1358	2,143.8	70.5306	2,143.8	74.1809
2,219.24	76.0701	2,219.24	73.3663	2,219.24	74.9253
2,297.61	76.3434	2,297.61	73.3447	2,297.61	75.0979
2,378.17	76.5402	2,378.17	74.5861	2,378.17	75.6721
2,462.4	76.9841	2,462.4	75.6663	2,462.4	76.375
2,548.83	76.8696	2,548.83	75.9853	2,548.83	76.4499
2,638.92	76.8293	2,638.92	76.0345	2,638.92	76.45
2,731.93	77.223	2,731.93	75.9421	2,731.93	76.6296
2,828.61	77.9425	2,828.61	75.0536	2,828.61	76.734
2,928.22	78.6834	2,928.22	74.7735	2,928.22	77.1543
3,031.49	79.3353	3,031.49	74.5153	3,031.49	77.5622
3,138.43	79.7889	3,138.43	74.926	3,138.43	78.0053
3,249.02	79.7376	3,249.02	75.935	3,249.02	78.2399
3,363.28	79.7883	3,363.28	77.0174	3,363.28	78.6202
3,481.93	79.8368	3,481.93	77.5752	3,481.93	78.8516
3,604.98	79.8265	3,604.98	77.7778	3,604.98	78.9219
3,732.42	79.7344	3,732.42	77.6813	3,732.42	78.8281
3,863.53	79.4747	3,863.53	77.3875	3,863.53	78.5553
3,999.76	79.4615	3,999.76	77.0251	3,999.76	78.412
4,141.11	78.7714	4,141.11	76.6258	4,141.11	77.8298
4,286.87	78.6923	4,286.87	76.2888	4,286.87	77.6548
4,438.48	78.4448	4,438.48	75.0209	4,438.48	77.0619
4,594.48	77.643	4,594.48	74.4483	4,594.48	76.333
4,757.08	78.1113	4,757.08	74.3232	4,757.08	76.6178
4,924.8	77.9629	4,924.8	74.8132	4,924.8	76.6675
5,098.39	77.8306	5,098.39	74.7137	5,098.39	76.546
5,277.83	78.2012	5,277.83	74.2596	5,277.83	76.663
5,463.87	78.3848	5,463.87	73.7428	5,463.87	76.6565
5,656.49	78.236	5,656.49	74.6247	5,656.49	76.7954
5,856.45	78.4373	5,856.45	75.5564	5,856.45	77.2314
6,062.99	78.7745	6,062.99	75.8822	6,062.99	77.5648
6,276.86	78.7358	6,276.86	75.3102	6,276.86	77.3523
6,498.05	78.8098	6,498.05	74.9489	6,498.05	77.295
6,727.29	79.3336	6,727.29	75.5902	6,727.29	77.8533
6,964.6	79.8856	6,964.6	76.3707	6,964.6	78.4745
7,209.96	80.2085	7,209.96	76.2436	7,209.96	78.6636
7,464.11	80.2942	7,464.11	75.7792	7,464.11	78.5988
7,727.78	79.8792	7,727.78	75.6301	7,727.78	78.2548
8,000.24	79.4591	8,000.24	75.1537	8,000.24	77.8194
8,282.23	79.0402	8,282.23	74.2124	8,282.23	77.2652
8,574.46	79.315	8,574.46	73.6544	8,574.46	77.3482
8,876.22	79.2229	8,876.22	73.5709	8,876.22	77.258
9,189.7	78.6129	9,189.7	73.2994	9,189.7	76.7226
9,513.43	77.6028	9,513.43	73.1921	9,513.43	75.9349
9,848.88	76.3663	9,848.88	72.8198	9,848.88	74.9454
10,196.8	75.4668	10,196.8	71.7486	10,196.8	73.994
10,556.4	76.0821	10,556.4	71.7637	10,556.4	74.4389
10,928.5	77.0588	10,928.5	72.1389	10,928.5	75.2612
11,313.7	77.4783	11,313.7	72.4275	11,313.7	75.6492
11,712.9	77.8327	11,712.9	72.8154	11,712.9	76.0116
12,126	77.8525	12,126	72.72	12,126	76.004
12,553.7	77.8587	12,553.7	72.7677	12,553.7	76.02
12,996.1	77.6066	12,996.1	71.9006	12,996.1	75.6302
13,454.6	77.257	13,454.6	71.7907	13,454.6	75.3325
13,928.5	77.9605	13,928.5	71.7612	13,928.5	75.8842
14,419.9	75.0017	14,419.9	71.701	14,419.9	73.6576
14,928.2	73.8671	14,928.2	71.5004	14,928.2	72.843
15,454.8	74.1482	15,454.8	69.6443	15,454.8	72.4557
15,999.8	75.1001	15,999.8	68.2962	15,999.8	72.9132
16,564.5	77.2032	16,564.5	71.1207	16,564.5	75.1497
17,148.2	78.5447	17,148.2	71.4299	17,148.2	76.3056
17,753.2	78.7819	17,753.2	70.9167	17,753.2	76.4292
18,379.4	76.8908	18,379.4	69.7665	18,379.4	74.6501
19,027.6	74.2518	19,027.6	66.8806	19,027.6	71.972
19,698.5	72.2101	19,698.5	64.1886	19,698.5	69.8358
19,999.5	70.2908	19,999.5	62.2281	19,999.5	67.9109
