"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	64.7105	20.5078	64.7441	20.5078	64.846	20.5078	64.9512	20.5078	59.7723	20.5078	59.8775	20.5078	59.9794
21.2402	57.764	21.2402	57.8617	21.2402	58.56	21.2402	59.6472	21.2402	58.194	21.2402	59.2811	21.2402	59.9794
21.9727	56.9746	21.9727	57.0231	21.9727	57.4702	21.9727	58.2195	21.9727	58.7831	21.9727	59.5324	21.9727	59.9794
22.7051	63.7598	22.7051	63.7705	22.7051	63.7906	22.7051	63.9062	22.7051	59.8437	22.7051	59.9594	22.7051	59.9794
23.4375	58.0956	23.4375	58.1464	23.4375	58.2855	23.4375	58.5756	23.4375	59.5502	23.4375	59.8403	23.4375	59.9794
24.1699	60.3207	24.1699	60.3468	24.1699	60.4079	24.1699	60.7083	24.1699	59.6178	24.1699	59.9183	24.1699	59.9794
25.6348	59.4925	25.6348	59.5407	25.6348	59.8411	25.6348	60.5003	25.6348	59.0198	25.6348	59.679	25.6348	59.9794
26.3672	63.8641	26.3672	63.8777	26.3672	63.9188	26.3672	64.1875	26.3672	59.6696	26.3672	59.9383	26.3672	59.9794
27.0996	63.4746	27.0996	63.4897	27.0996	63.5541	27.0996	63.85	27.0996	59.6192	27.0996	59.9151	27.0996	59.9794
27.832	64.2308	27.832	64.2379	27.832	64.2436	27.832	64.4788	27.832	59.7385	27.832	59.9737	27.832	59.9794
29.2969	66.2063	29.2969	66.23	29.2969	66.4052	29.2969	66.8854	29.2969	59.324	29.2969	59.8042	29.2969	59.9794
30.0293	69.8526	30.0293	69.8692	30.0293	69.9538	30.0293	70.2435	30.0293	59.6051	30.0293	59.8947	30.0293	59.9794
31.4941	70.7858	31.4941	70.7956	31.4941	70.8414	31.4941	71.0709	31.4941	59.7042	31.4941	59.9336	31.4941	59.9794
32.2266	71.7829	32.2266	71.795	32.2266	71.8568	32.2266	72.1238	32.2266	59.6506	32.2266	59.9176	32.2266	59.9794
33.6914	75.1399	33.6914	75.1525	33.6914	75.2279	33.6914	75.486	33.6914	59.6459	33.6914	59.904	33.6914	59.9794
34.4238	75.9674	34.4238	75.9782	34.4238	76.0449	34.4238	76.2864	34.4238	59.6712	34.4238	59.9128	34.4238	59.9794
35.8887	78.1122	35.8887	78.1212	35.8887	78.1705	35.8887	78.3795	35.8887	59.7212	35.8887	59.9301	35.8887	59.9794
37.3535	80.4678	37.3535	80.4744	37.3535	80.504	37.3535	80.6682	37.3535	59.7857	37.3535	59.9499	37.3535	59.9794
38.8184	82.4278	38.8184	82.4323	38.8184	82.4484	38.8184	82.5872	38.8184	59.8244	38.8184	59.9632	38.8184	59.9794
39.5508	83.4232	39.5508	83.4268	39.5508	83.4354	39.5508	83.5592	39.5508	59.847	39.5508	59.9708	39.5508	59.9794
41.0156	85.2879	41.0156	85.2871	41.0156	85.2608	41.0156	85.3541	41.0156	59.9124	41.0156	60.0057	41.0156	59.9794
42.4805	87.722	42.4805	87.7231	42.4805	87.7078	42.4805	87.7895	42.4805	59.9129	42.4805	59.9947	42.4805	59.9794
43.9453	89.7137	43.9453	89.714	43.9453	89.6941	43.9453	89.7656	43.9453	59.9277	43.9453	59.9993	43.9453	59.9794
45.4102	91.5076	45.4102	91.5062	45.4102	91.4757	45.4102	91.5285	45.4102	59.9571	45.4102	60.01	45.4102	59.9794
47.6074	94.2087	47.6074	94.2066	47.6074	94.1711	47.6074	94.209	47.6074	59.977	47.6074	60.0149	47.6074	59.9794
49.0723	95.8913	49.0723	95.8883	49.0723	95.8463	49.0723	95.8716	49.0723	59.9961	49.0723	60.0214	49.0723	59.9794
50.5371	97.446	50.5371	97.4422	50.5371	97.3954	50.5371	97.4114	50.5371	60.0102	50.5371	60.0262	50.5371	59.9794
52.7344	99.5163	52.7344	99.5118	52.7344	99.4616	52.7344	99.4696	52.7344	60.0216	52.7344	60.0296	52.7344	59.9794
54.1992	100.696	54.1992	100.691	54.1992	100.637	54.1992	100.638	54.1992	60.0318	54.1992	60.0331	54.1992	59.9794
56.3965	102.135	56.3965	102.13	56.3965	102.074	56.3965	102.07	56.3965	60.0392	56.3965	60.0353	56.3965	59.9794
58.5938	103.195	58.5938	103.189	58.5938	103.131	58.5938	103.122	58.5938	60.0464	58.5938	60.0376	58.5938	59.9794
60.0586	103.659	60.0586	103.652	60.0586	103.591	60.0586	103.577	60.0586	60.054	60.0586	60.0403	60.0586	59.9794
62.2559	104.116	62.2559	104.109	62.2559	104.04	62.2559	104.012	62.2559	60.0756	62.2559	60.0484	62.2559	59.9794
64.4531	104.307	64.4531	104.299	64.4531	104.227	64.4531	104.196	64.4531	60.0821	64.4531	60.0506	64.4531	59.9794
66.6504	104.268	66.6504	104.259	66.6504	104.183	66.6504	104.147	66.6504	60.0917	66.6504	60.0549	66.6504	59.9794
