"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.207086	20.5078	-0.101893
21.2402	-1.78545	21.2402	-0.698293
21.9727	-1.19632	21.9727	-0.447028
22.7051	-0.135656	22.7051	-0.0200201
23.4375	-0.42919	23.4375	-0.139091
24.1699	-0.361564	24.1699	-0.0610911
25.6348	-0.959622	25.6348	-0.300369
26.3672	-0.309804	26.3672	-0.0410778
27.0996	-0.360212	27.0996	-0.0643253
27.832	-0.240863	27.832	-0.00570747
29.2969	-0.655446	29.2969	-0.175227
30.0293	-0.374312	30.0293	-0.0846556
31.4941	-0.275241	31.4941	-0.0457748
32.2266	-0.328828	32.2266	-0.0618095
33.6914	-0.333467	33.6914	-0.0753988
34.4238	-0.308176	34.4238	-0.0666189
35.8887	-0.258236	35.8887	-0.0492644
37.3535	-0.193748	37.3535	-0.0295361
38.8184	-0.154983	38.8184	-0.0161709
39.5508	-0.132435	39.5508	-0.00864486
41.0156	-0.0670122	41.0156	0.0263303
42.4805	-0.0664579	42.4805	0.0152759
43.9453	-0.0516602	43.9453	0.0199138
45.4102	-0.0222856	45.4102	0.030567
47.6074	-0.00244013	47.6074	0.0355031
49.0723	0.0166822	49.0723	0.0419824
50.5371	0.0307912	50.5371	0.0467753
52.7344	0.0422287	52.7344	0.0502031
54.1992	0.052372	54.1992	0.0536617
56.3965	0.0598219	56.3965	0.0559009
58.5938	0.0669825	58.5938	0.0582244
60.0586	0.0746138	60.0586	0.0608758
62.2559	0.0961692	62.2559	0.0689537
64.4531	0.102671	64.4531	0.0711903
66.6504	0.112251	66.6504	0.0755143
69.5801	0.129494	69.5801	0.0826896
71.7773	0.137845	71.7773	0.0860346
73.9746	0.13422	73.9746	0.0848162
76.9043	0.143901	76.9043	0.0887722
79.834	0.147796	79.834	0.0921218
82.7637	0.175238	82.7637	0.103775
85.6934	0.210404	85.6934	0.117082
88.623	0.223692	88.623	0.121916
91.5527	0.167354	91.5527	0.101084
94.4824	0.112732	94.4824	0.0876044
98.1445	0.252111	98.1445	0.139772
101.807	0.244739	101.807	0.136932
105.469	0.247612	105.469	0.139623
109.131	0.253281	109.131	0.14334
112.793	0.283502	112.793	0.154733
116.455	0.265314	116.455	0.149554
120.85	0.325234	120.85	0.174249
125.244	0.366326	125.244	0.190375
129.639	0.348961	129.639	0.184611
134.033	0.295119	134.033	0.165459
138.428	0.272533	138.428	0.165665
143.555	0.366466	143.555	0.208942
148.682	0.435076	148.682	0.233197
153.809	0.42985	153.809	0.232621
159.668	0.455608	159.668	0.247764
164.795	0.564388	164.795	0.286186
170.654	0.552661	170.654	0.278343
176.514	0.498611	176.514	0.266654
183.105	0.52472	183.105	0.285881
189.697	0.568274	189.697	0.302325
196.289	0.611973	196.289	0.328756
202.881	0.706493	202.881	0.362736
210.205	0.744271	210.205	0.38044
217.529	0.778022	217.529	0.388509
225.586	0.846616	225.586	0.416707
232.91	0.944299	232.91	0.449634
241.699	0.915861	241.699	0.434402
249.756	0.942844	249.756	0.460369
258.545	0.767995	258.545	0.40576
268.066	0.892445	268.066	0.464514
277.588	0.789283	277.588	0.44589
287.109	0.93966	287.109	0.528995
297.363	1.14473	297.363	0.610589
307.617	1.12382	307.617	0.614077
318.604	1.41039	318.604	0.720441
329.59	1.47493	329.59	0.724383
341.309	1.5209	341.309	0.78855
353.76	1.79826	353.76	0.856364
366.211	1.80592	366.211	0.833538
378.662	1.88904	378.662	0.896366
392.578	2.01472	392.578	0.910194
405.762	2.09305	405.762	0.955677
420.41	2.18193	420.41	0.984235
435.059	2.15618	435.059	0.997928
450.439	2.43056	450.439	1.10348
466.553	2.49283	466.553	1.14564
482.666	2.67335	482.666	1.11667
