"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	65.4428	20.5078	63.7288	20.5078	64.7506	20.5078	64.986	20.5078	64.9367	20.5078	64.846
21.2402	58.8332	21.2402	57.2844	21.2402	57.8781	21.2402	58.7165	21.2402	60.041	21.2402	58.56
21.9727	57.1779	21.9727	57.4543	21.9727	57.0309	21.9727	57.4646	21.9727	58.6011	21.9727	57.4702
22.7051	64.401	22.7051	62.891	22.7051	63.7711	22.7051	63.8379	22.7051	63.8339	22.7051	63.7906
23.4375	59.6634	23.4375	55.64	23.4375	58.1516	23.4375	58.4647	23.4375	58.3425	23.4375	58.2855
24.1699	61.7283	24.1699	58.2014	24.1699	60.3463	24.1699	60.4921	24.1699	60.4534	24.1699	60.4079
25.6348	60.7957	25.6348	58.0782	25.6348	59.5449	25.6348	59.9312	25.6348	60.5295	25.6348	59.8411
26.3672	64.9303	26.3672	62.3705	26.3672	63.8764	26.3672	63.9578	26.3672	64.0482	26.3672	63.9188
27.0996	64.4953	27.0996	62.1673	27.0996	63.4885	27.0996	63.5864	27.0996	63.7302	27.0996	63.5541
27.832	65.2701	27.832	62.8369	27.832	64.2345	27.832	64.2556	27.832	64.2686	27.832	64.2436
29.2969	67.1305	29.2969	65.37	29.2969	66.2297	29.2969	66.4219	29.2969	66.8581	29.2969	66.4052
30.0293	70.7213	30.0293	68.8487	30.0293	69.8688	30.0293	69.9885	30.0293	70.1653	30.0293	69.9538
31.4941	71.5429	31.4941	69.9098	31.4941	70.7942	31.4941	70.8577	31.4941	70.9718	31.4941	70.8414
32.2266	72.601	32.2266	70.8307	32.2266	71.7937	32.2266	71.8771	32.2266	72.0331	32.2266	71.8568
33.6914	75.8304	33.6914	74.374	33.6914	75.1523	33.6914	75.2507	33.6914	75.4501	33.6914	75.2279
34.4238	76.612	34.4238	75.2712	34.4238	75.9777	34.4238	76.061	34.4238	76.2447	34.4238	76.0449
35.8887	78.7491	35.8887	77.3832	35.8887	78.1205	35.8887	78.1873	35.8887	78.3287	35.8887	78.1705
37.3535	81.0542	37.3535	79.7702	37.3535	80.4735	37.3535	80.519	37.3535	80.6117	37.3535	80.504
38.8184	82.9812	38.8184	81.7669	38.8184	82.431	38.8184	82.4576	38.8184	82.5218	38.8184	82.4484
39.5508	83.9682	39.5508	82.7632	39.5508	83.4253	39.5508	83.4435	39.5508	83.4875	39.5508	83.4354
41.0156	85.9	41.0156	84.4688	41.0156	85.2845	41.0156	85.2615	41.0156	85.2381	41.0156	85.2608
42.4805	88.2566	42.4805	87.0082	42.4805	87.7214	42.4805	87.7167	42.4805	87.7073	42.4805	87.7078
43.9453	90.23	43.9453	89.0198	43.9453	89.7123	43.9453	89.701	43.9453	89.6825	43.9453	89.6941
45.4102	92.005	45.4102	90.8218	45.4102	91.5042	45.4102	91.4794	45.4102	91.4402	45.4102	91.4757
47.6074	94.6758	47.6074	93.5559	47.6074	94.2046	47.6074	94.1737	47.6074	94.122	47.6074	94.1711
49.0723	96.3453	49.0723	95.2458	49.0723	95.8862	49.0723	95.8473	49.0723	95.7814	49.0723	95.8463
50.5371	97.8882	50.5371	96.8077	50.5371	97.44	50.5371	97.395	50.5371	97.3197	50.5371	97.3954
52.7344	99.9401	52.7344	98.8955	52.7344	99.5096	52.7344	99.4597	52.7344	99.3798	52.7344	99.4616
54.1992	101.11	54.1992	100.081	54.1992	100.688	54.1992	100.634	54.1992	100.548	54.1992	100.637
56.3965	102.535	56.3965	101.537	56.3965	102.128	56.3965	102.07	56.3965	101.982	56.3965	102.074
58.5938	103.58	58.5938	102.611	58.5938	103.187	58.5938	103.125	58.5938	103.036	58.5938	103.131
60.0586	104.034	60.0586	103.082	60.0586	103.65	60.0586	103.584	60.0586	103.491	60.0586	103.591
62.2559	104.483	62.2559	103.54	62.2559	104.106	62.2559	104.03	62.2559	103.921	62.2559	104.04
64.4531	104.665	64.4531	103.739	64.4531	104.296	64.4531	104.216	64.4531	104.105	64.4531	104.227
66.6504	104.624	66.6504	103.694	66.6504	104.256	66.6504	104.17	66.6504	104.053	66.6504	104.183
69.5801	104.483	69.5801	103.546	69.5801	104.118	69.5801	104.023	69.5801	103.895	69.5801	104.038
71.7773	104.339	71.7773	103.409	71.7773	103.979	71.7773	103.88	71.7773	103.747	71.7773	103.896
73.9746	104.119	73.9746	103.204	73.9746	103.765	73.9746	103.666	73.9746	103.541	73.9746	103.683
76.9043	103.89	76.9043	102.982	76.9043	103.541	76.9043	103.436	76.9043	103.305	76.9043	103.455
79.834	103.708	79.834	102.788	79.834	103.356	79.834	103.246	79.834	103.118	79.834	103.268
82.7637	103.647	82.7637	102.709	82.7637	103.295	82.7637	103.17	82.7637	103.022	82.7637	103.195
85.6934	103.606	85.6934	102.661	85.6934	103.257	85.6934	103.116	85.6934	102.936	85.6934	103.144
88.623	103.637	88.623	102.678	88.623	103.286	88.623	103.14	88.623	102.946	88.623	103.168
91.5527	103.656	91.5527	102.699	91.5527	103.296	91.5527	103.176	91.5527	103.035	91.5527	103.199
94.4824	103.456	94.4824	102.437	94.4824	103.068	94.4824	102.959	94.4824	102.887	94.4824	102.984
98.1445	103.799	98.1445	102.788	98.1445	103.443	98.1445	103.27	98.1445	103.076	98.1445	103.308
101.807	103.901	101.807	102.877	101.807	103.541	101.807	103.373	101.807	103.188	101.807	103.409
105.469	104.017	105.469	102.99	105.469	103.659	105.469	103.486	105.469	103.306	105.469	103.524
109.131	104.181	109.131	103.165	109.131	103.832	109.131	103.653	109.131	103.479	109.131	103.694
112.793	104.352	112.793	103.359	112.793	104.018	112.793	103.823	112.793	103.626	112.793	103.868
116.455	104.486	116.455	103.495	116.455	104.15	116.455	103.96	116.455	103.787	116.455	104.006
120.85	104.699	120.85	103.722	120.85	104.382	120.85	104.158	120.85	103.944	120.85	104.214
125.244	104.888	125.244	103.902	125.244	104.574	125.244	104.328	125.244	104.081	125.244	104.39
129.639	105.047	129.639	104.039	129.639	104.724	129.639	104.487	129.639	104.253	129.639	104.546
134.033	105.022	134.033	104.039	134.033	104.699	134.033	104.484	134.033	104.301	134.033	104.54
138.428	105.159	138.428	104.122	138.428	104.817	138.428	104.595	138.428	104.457	138.428	104.658
143.555	105.394	143.555	104.32	143.555	105.061	143.555	104.776	143.555	104.586	143.555	104.86
148.682	105.526	148.682	104.401	148.682	105.185	148.682	104.874	148.682	104.613	148.682	104.96
153.809	105.602	153.809	104.51	153.809	105.282	153.809	104.971	153.809	104.729	153.809	105.058
159.668	105.734	159.668	104.656	159.668	105.427	159.668	105.09	159.668	104.847	159.668	105.188
164.795	105.956	164.795	104.847	164.795	105.657	164.795	105.274	164.795	104.933	164.795	105.381
170.654	105.991	170.654	104.894	170.654	105.689	170.654	105.318	170.654	104.974	170.654	105.42
176.514	105.952	176.514	104.826	176.514	105.632	176.514	105.268	176.514	104.991	176.514	105.375
183.105	105.974	183.105	104.769	183.105	105.641	183.105	105.248	183.105	104.976	183.105	105.366
189.697	106.065	189.697	104.953	189.697	105.78	189.697	105.361	189.697	105.073	189.697	105.488
196.289	106.131	196.289	104.963	196.289	105.838	196.289	105.376	196.289	105.079	196.289	105.522
202.881	106.2	202.881	105.056	202.881	105.939	202.881	105.435	202.881	105.061	202.881	105.589
210.205	106.235	210.205	105.097	210.205	105.986	210.205	105.455	210.205	105.057	210.205	105.619
217.529	106.245	217.529	105.141	217.529	106.014	217.529	105.474	217.529	105.047	217.529	105.639
225.586	106.334	225.586	105.202	225.586	106.116	225.586	105.536	225.586	105.077	225.586	105.713
232.91	106.525	232.91	105.335	232.91	106.293	232.91	105.675	232.91	105.099	232.91	105.858
241.699	106.378	241.699	105.178	241.699	106.118	241.699	105.524	241.699	104.93	241.699	105.698
249.756	106.486	249.756	105.202	249.756	106.219	249.756	105.587	249.756	104.989	249.756	105.775
