"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	64.8807
21.2402	59.0028
21.9727	57.7685
22.7051	63.8394
23.4375	58.3996
24.1699	60.5356
25.6348	60.111
26.3672	64.0343
27.0996	63.6793
27.832	64.348
29.2969	66.6034
30.0293	70.0739
31.4941	70.9385
32.2266	71.9691
33.6914	75.3346
34.4238	76.1451
35.8887	78.2579
37.3535	80.5735
38.8184	82.5081
39.5508	83.4893
41.0156	85.3053
42.4805	87.7458
43.9453	89.7281
45.4102	91.5026
47.6074	94.1921
49.0723	95.8625
50.5371	97.4081
52.7344	99.4712
54.1992	100.644
56.3965	102.079
58.5938	103.134
60.0586	103.593
62.2559	104.036
64.4531	104.222
66.6504	104.176
69.5801	104.028
71.7773	103.884
73.9746	103.672
76.9043	103.442
79.834	103.255
82.7637	103.176
85.6934	103.118
88.623	103.139
91.5527	103.182
94.4824	102.984
98.1445	103.276
101.807	103.378
105.469	103.494
109.131	103.664
112.793	103.831
116.455	103.974
120.85	104.17
125.244	104.337
129.639	104.497
134.033	104.504
138.428	104.632
143.555	104.817
148.682	104.902
153.809	105.001
159.668	105.129
164.795	105.297
170.654	105.337
176.514	105.308
183.105	105.298
189.697	105.412
196.289	105.441
202.881	105.488
210.205	105.512
217.529	105.522
225.586	105.584
232.91	105.707
241.699	105.55
249.756	105.63
258.545	105.656
268.066	105.389
277.588	105.444
287.109	105.265
297.363	105.182
307.617	104.99
318.604	104.908
329.59	104.924
341.309	104.728
353.76	104.777
366.211	104.701
378.662	104.717
392.578	104.529
405.762	104.574
420.41	104.499
435.059	104.244
450.439	104.09
466.553	103.995
482.666	103.892
500.244	103.937
517.822	103.612
536.133	103.545
554.443	103.829
574.219	103.586
594.727	103.993
615.234	104.189
637.207	104.394
659.912	104.349
683.35	104.432
706.787	103.993
731.689	103.746
758.057	104.026
784.424	103.711
812.256	103.675
840.82	103.39
870.85	103.445
901.611	103.247
933.105	103.506
966.064	103.204
999.756	103.363
1,034.91	102.931
1,071.53	102.682
1,109.62	102.413
1,148.44	102.552
1,189.45	102.527
1,231.2	102.58
1,274.41	102.248
1,319.82	102.239
1,365.97	102.102
1,414.31	101.857
1,464.11	101.698
1,515.38	101.461
1,568.85	101.437
1,624.51	100.865
1,681.64	100.086
1,740.97	100.459
1,802.49	100.411
1,866.21	100.007
1,932.13	99.7066
2,000.24	100.47
2,070.56	101.166
2,143.8	100.968
2,219.24	100.398
2,297.61	101.274
2,378.17	102.068
2,462.4	101.8
2,548.83	101.788
2,638.92	102.009
2,731.93	101.619
2,828.61	101.679
2,928.22	101.495
3,031.49	101.053
3,138.43	101.275
3,249.02	101.465
3,363.28	101.22
3,481.93	101.233
3,604.98	101.098
3,732.42	100.748
3,863.53	100.495
3,999.76	100.655
4,141.11	100.511
4,286.87	101.313
4,438.48	101.486
4,594.48	101.978
4,757.08	102.034
4,924.8	101.959
5,098.39	101.828
5,277.83	101.121
5,463.87	100.94
5,656.49	100.247
5,856.45	99.8652
6,062.99	100.18
6,276.86	100.786
6,498.05	100.733
6,727.29	101.114
6,964.6	101.329
7,209.96	101.058
7,464.11	100.42
7,727.78	99.6415
8,000.24	99.4486
8,282.23	100.601
8,574.46	101.652
8,876.22	101.733
9,189.7	101.053
9,513.43	100.139
9,848.88	100.048
10,196.8	100.797
10,556.4	101.36
10,928.5	101.487
11,313.7	101.048
11,712.9	100.116
12,126	100.124
12,553.7	100.65
12,996.1	100.977
13,454.6	100.715
13,928.5	99.946
14,419.9	99.4552
14,928.2	99.6817
15,454.8	99.7455
15,999.8	99.2882
16,564.5	98.6245
17,148.2	98.6502
17,753.2	99.0411
18,379.4	98.5238
19,027.6	97.536
19,698.5	97.2051
19,999.5	96.859
