"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	64.7506	20.5078	64.986	20.5078	64.8758	20.5078	64.8828
21.2402	57.8781	21.2402	58.7165	21.2402	60.4157	21.2402	59.575
21.9727	57.0309	21.9727	57.4646	21.9727	58.9341	21.9727	58.2347
22.7051	63.7711	22.7051	63.8379	22.7051	63.821	22.7051	63.8161
23.4375	58.1516	23.4375	58.4647	23.4375	58.2332	23.4375	58.2833
24.1699	60.3463	24.1699	60.4921	24.1699	60.4089	24.1699	60.4201
25.6348	59.5449	25.6348	59.9312	25.6348	60.7093	25.6348	60.2935
26.3672	63.8764	26.3672	63.9578	26.3672	64.0712	26.3672	64.0025
27.0996	63.4885	27.0996	63.5864	27.0996	63.7723	27.0996	63.6671
27.832	64.2345	27.832	64.2556	27.832	64.2697	27.832	64.2589
29.2969	66.2297	29.2969	66.4219	29.2969	67.0015	29.2969	66.7033
30.0293	69.8688	30.0293	69.9885	30.0293	70.2191	30.0293	70.0894
31.4941	70.7942	31.4941	70.8577	31.4941	71.0084	31.4941	70.9259
32.2266	71.7937	32.2266	71.8771	32.2266	72.084	32.2266	71.9718
33.6914	75.1523	33.6914	75.2507	33.6914	75.5161	33.6914	75.3744
34.4238	75.9777	34.4238	76.061	34.4238	76.3068	34.4238	76.1768
35.8887	78.1205	35.8887	78.1873	35.8887	78.3763	35.8887	78.2755
37.3535	80.4735	37.3535	80.519	37.3535	80.6428	37.3535	80.5761
38.8184	82.431	38.8184	82.4576	38.8184	82.5442	38.8184	82.4984
39.5508	83.4253	39.5508	83.4435	39.5508	83.5029	39.5508	83.4715
41.0156	85.2845	41.0156	85.2615	41.0156	85.2321	41.0156	85.2505
42.4805	87.7214	42.4805	87.7167	42.4805	87.704	42.4805	87.7109
43.9453	89.7123	43.9453	89.701	43.9453	89.6764	43.9453	89.6903
45.4102	91.5042	45.4102	91.4794	45.4102	91.4277	45.4102	91.4571
47.6074	94.2046	47.6074	94.1737	47.6074	94.1052	47.6074	94.1438
49.0723	95.8862	49.0723	95.8473	49.0723	95.7599	49.0723	95.8091
50.5371	97.44	50.5371	97.395	50.5371	97.2953	50.5371	97.3516
52.7344	99.5096	52.7344	99.4597	52.7344	99.3544	52.7344	99.4143
54.1992	100.688	54.1992	100.634	54.1992	100.521	54.1992	100.585
56.3965	102.128	56.3965	102.07	56.3965	101.954	56.3965	102.021
58.5938	103.187	58.5938	103.125	58.5938	103.009	58.5938	103.076
60.0586	103.65	60.0586	103.584	60.0586	103.464	60.0586	103.534
62.2559	104.106	62.2559	104.03	62.2559	103.888	62.2559	103.971
64.4531	104.296	64.4531	104.216	64.4531	104.071	64.4531	104.156
66.6504	104.256	66.6504	104.17	66.6504	104.018	66.6504	104.108
69.5801	104.118	69.5801	104.023	69.5801	103.856	69.5801	103.955
71.7773	103.979	71.7773	103.88	71.7773	103.707	71.7773	103.809
73.9746	103.765	73.9746	103.666	73.9746	103.505	73.9746	103.601
76.9043	103.541	76.9043	103.436	76.9043	103.268	76.9043	103.369
79.834	103.356	79.834	103.246	79.834	103.083	79.834	103.183
82.7637	103.295	82.7637	103.17	82.7637	102.981	82.7637	103.096
