"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	65.4428	20.5078	63.7288	20.5078	64.6698
21.2402	58.8332	21.2402	57.2844	21.2402	58.1275
21.9727	57.1779	21.9727	57.4543	21.9727	57.3183
22.7051	64.401	22.7051	62.891	22.7051	63.7113
23.4375	59.6634	23.4375	55.64	23.4375	58.1018
24.1699	61.7283	24.1699	58.2014	24.1699	60.3134
25.6348	60.7957	25.6348	58.0782	25.6348	59.6461
26.3672	64.9303	26.3672	62.3705	26.3672	63.8364
27.0996	64.4953	27.0996	62.1673	27.0996	63.4854
27.832	65.2701	27.832	62.8369	27.832	64.2217
29.2969	67.1305	29.2969	65.37	29.2969	66.3389
30.0293	70.7213	30.0293	68.8487	30.0293	69.8851
31.4941	71.5429	31.4941	69.9098	31.4941	70.8027
32.2266	72.601	32.2266	70.8307	32.2266	71.8055
33.6914	75.8304	33.6914	74.374	33.6914	75.163
34.4238	76.612	34.4238	75.2712	34.4238	75.9931
35.8887	78.7491	35.8887	77.3832	35.8887	78.1196
37.3535	81.0542	37.3535	79.7702	37.3535	80.4594
38.8184	82.9812	38.8184	81.7669	38.8184	82.4163
39.5508	83.9682	39.5508	82.7632	39.5508	83.4073
41.0156	85.9	41.0156	84.4688	41.0156	85.2431
42.4805	88.2566	42.4805	87.0082	42.4805	87.6771
43.9453	90.23	43.9453	89.0198	43.9453	89.6669
45.4102	92.005	45.4102	90.8218	45.4102	91.4535
47.6074	94.6758	47.6074	93.5559	47.6074	94.1519
49.0723	96.3453	49.0723	95.2458	49.0723	95.8302
50.5371	97.8882	50.5371	96.8077	50.5371	97.3814
52.7344	99.9401	52.7344	98.8955	52.7344	99.4491
54.1992	101.11	54.1992	100.081	54.1992	100.626
56.3965	102.535	56.3965	101.537	56.3965	102.064
58.5938	103.58	58.5938	102.611	58.5938	103.122
60.0586	104.034	60.0586	103.082	60.0586	103.584
62.2559	104.483	62.2559	103.54	62.2559	104.037
64.4531	104.665	64.4531	103.739	64.4531	104.226
66.6504	104.624	66.6504	103.694	66.6504	104.184
69.5801	104.483	69.5801	103.546	69.5801	104.04
71.7773	104.339	71.7773	103.409	71.7773	103.899
73.9746	104.119	73.9746	103.204	73.9746	103.685
76.9043	103.89	76.9043	102.982	76.9043	103.46
79.834	103.708	79.834	102.788	79.834	103.273
82.7637	103.647	82.7637	102.709	82.7637	103.203
85.6934	103.606	85.6934	102.661	85.6934	103.159
88.623	103.637	88.623	102.678	88.623	103.184
91.5527	103.656	91.5527	102.699	91.5527	103.203
94.4824	103.456	94.4824	102.437	94.4824	102.976
98.1445	103.799	98.1445	102.788	98.1445	103.323
101.807	103.901	101.807	102.877	101.807	103.419
105.469	104.017	105.469	102.99	105.469	103.534
109.131	104.181	109.131	103.165	109.131	103.703
112.793	104.352	112.793	103.359	112.793	103.884
116.455	104.486	116.455	103.495	116.455	104.018
120.85	104.699	120.85	103.722	120.85	104.238
125.244	104.888	125.244	103.902	125.244	104.423
129.639	105.047	129.639	104.039	129.639	104.572
134.033	105.022	134.033	104.039	134.033	104.558
138.428	105.159	138.428	104.122	138.428	104.671
143.555	105.394	143.555	104.32	143.555	104.89
148.682	105.526	148.682	104.401	148.682	105
